operation,response resource,attribute,group,description,part,corresponding attribute,corresponding attribute description,tp
get-/groups,Group,name,name,,parameters,order_by,"Order groups byname,pathorid. Default is name",0
get-/groups/{id},GroupDetails,id,id,,parameters,id,The ID orURL-encoded path of the groupowned by the authenticated user,1
get-/groups/{id}/hooks/{hook_id},Hook,id,id,,parameters,hook_id,The ID of a group hook,1
get-/groups/{id}/hooks/{hook_id},Hook,id,id,,parameters,hook_id,The ID of a group hook,0
get-/groups/{id}/hooks/{hook_id},Hook,id,id,,parameters,hook_id,The ID of a group hook,1
get-/groups/{id}/hooks/{hook_id},Hook,id,id,,parameters,hook_id,The ID of a group hook,0
get-/groups/{id}/projects,Project,archived,archived,,parameters,archived,Limit by archived status,1
get-/groups/{id}/projects,Project,visibility,visibility,,parameters,visibility,"Limit by visibilitypublic,internal, orprivate",1
get-/groups/{id}/projects,Project,issues_enabled,issues_enabled,,parameters,with_issues_enabled,Limit by projects with issues feature enabled. Default is false,1
get-/groups/{id}/projects,Project,merge_requests_enabled,merge_requests_enabled,,parameters,with_merge_requests_enabled,Limit by projects with merge requests feature enabled. Default is false,1
get-/groups/{id}/projects/shared,SharedProject,archived,archived,,parameters,archived,Limit by archived status,1
get-/groups/{id}/projects/shared,SharedProject,visibility,visibility,,parameters,visibility,"Limit by visibilitypublic,internal, orprivate",1
get-/groups/{id}/projects/shared,SharedProject,created_at,created_at,,parameters,order_by,"Return projects ordered byid,name,path,created_at,updated_at,similarity(1), orlast_activity_atfields. Default iscreated_at",0
get-/groups/{id}/projects/shared,SharedProject,issues_enabled,issues_enabled,,parameters,with_issues_enabled,Limit by projects with issues feature enabled. Default is false,1
get-/groups/{id}/projects/shared,SharedProject,merge_requests_enabled,merge_requests_enabled,,parameters,with_merge_requests_enabled,Limit by projects with merge requests feature enabled. Default is false,1
get-/groups/{id}/subgroups,Group,id,id,,parameters,id,The ID orURL-encoded path of the groupof the immediate parent group,0
post-/groups,Group,name,name,,requestBody,name,The name of the group,1
post-/groups,Group,visibility,visibility,,parameters,visibility,"The group's visibility. Can be private,internal, orpublic",1
post-/groups,Group,share_with_group_lock,share_with_group_lock,,parameters,share_with_group_lock,Prevent sharing a project with another group within this group,1
post-/groups,Group,require_two_factor_authentication,require_two_factor_authentication,,parameters,require_two_factor_authentication,Require all users in this group to setup Two-factor authentication,1
post-/groups,Group,two_factor_grace_period,two_factor_grace_period,,parameters,two_factor_grace_period,Time before Two-factor authentication is enforced (in hours),1
post-/groups,Group,project_creation_level,project_creation_level,,parameters,project_creation_level,"Determine if developers can create projects in the group. Can benoone(No one),maintainer(Maintainers), or developer(Developers + Maintainers)",1
post-/groups,Group,subgroup_creation_level,subgroup_creation_level,,parameters,subgroup_creation_level,"Allowed to create subgroups. Can be owner(Owners), or maintainer(Maintainers)",1
post-/groups,Group,lfs_enabled,lfs_enabled,,parameters,lfs_enabled,Enable/disable Large File Storage (LFS) for the projects in this group,1
post-/groups,Group,default_branch_protection,default_branch_protection,,parameters,default_branch_protection,SeeOptions fordefault_branch_protection. Default to the global level default branch protection setting,1
post-/groups,Group,path,path,,requestBody,path,The path of the group,1
