operation,response resource,attribute,group,description,part,corresponding attribute,corresponding attribute description,tp
get-/projects,BasicProjectDetails,archived,archived,,parameters,archived,Limit by archived status,1
get-/projects,BasicProjectDetails,id,id,,parameters,id_after,Limit results to projects with IDs greater than the specified ID,1
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_after,Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ,1
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_before,Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ,1
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_after,Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ,1
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_before,Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ,1
get-/projects,BasicProjectDetails,issues_enabled,issues_enabled,,parameters,with_issues_enabled,Limit by enabled issues feature,1
get-/projects,BasicProjectDetails,merge_requests_enabled,merge_requests_enabled,,parameters,with_merge_requests_enabled,Limit by enabled merge requests feature,1
post-/projects,BasicProjectDetails,repository_storage,repository_storage,,parameters,repository_storage,Which storage shard the repository is on.(admins only),1
post-/projects,BasicProjectDetails,visibility,visibility,,parameters,visibility,See project visibility level,1
post-/projects,BasicProjectDetails,issues_enabled,issues_enabled,,parameters,issues_enabled,(Deprecated)Enable issues for this project. Use issues_access_level instead,1
post-/projects,BasicProjectDetails,merge_requests_enabled,merge_requests_enabled,,parameters,merge_requests_enabled,(Deprecated)Enable merge requests for this project. Use merge_requests_access_level instead,1
post-/projects,BasicProjectDetails,allow_merge_on_skipped_pipeline,allow_merge_on_skipped_pipeline,,parameters,allow_merge_on_skipped_pipeline,Set whether or not merge requests can be merged with skipped jobs,1
post-/projects,BasicProjectDetails,auto_devops_deploy_strategy,auto_devops_deploy_strategy,,parameters,auto_devops_deploy_strategy,Auto Deploy strategy,1
post-/projects,BasicProjectDetails,auto_devops_enabled,auto_devops_enabled,,parameters,auto_devops_enabled,Enable Auto DevOps for this project,1
post-/projects,BasicProjectDetails,autoclose_referenced_issues,autoclose_referenced_issues,,parameters,autoclose_referenced_issues,Set whether auto-closing referenced issues on default branch,1
post-/projects,BasicProjectDetails,container_registry_enabled,container_registry_enabled,,parameters,container_registry_enabled,Enable container registry for this project,1
post-/projects,BasicProjectDetails,default_branch,default_branch,,parameters,default_branch,master by default,1
post-/projects,BasicProjectDetails,description,description,,parameters,description,Short project description,1
post-/projects,BasicProjectDetails,jobs_enabled,jobs_enabled,,parameters,jobs_enabled,(Deprecated)Enable jobs for this project. Use builds_access_level instead,1
post-/projects,BasicProjectDetails,merge_method,merge_method,,parameters,merge_method,Set the merge method used,1
post-/projects,BasicProjectDetails,name,name,,parameters,name,"The name of the new project. Either path or name is required, not both",1
post-/projects,BasicProjectDetails,only_allow_merge_if_all_discussions_are_resolved,only_allow_merge_if_all_discussions_are_resolved,,parameters,only_allow_merge_if_all_discussions_are_resolved,Set whether merge requests can only be merged when all the discussions are resolved,1
post-/projects,BasicProjectDetails,only_allow_merge_if_pipeline_succeeds,only_allow_merge_if_pipeline_succeeds,,parameters,only_allow_merge_if_pipeline_succeeds,Set whether merge requests can only be merged with successful jobs,1
post-/projects,BasicProjectDetails,packages_enabled,packages_enabled,,parameters,packages_enabled,Enable or disable packages repository feature,1
post-/projects,BasicProjectDetails,path,path,,parameters,path,Repository name for new project. Generated based on name if not provided (generated as lowercase with dashes),1
post-/projects,BasicProjectDetails,remove_source_branch_after_merge,remove_source_branch_after_merge,,parameters,remove_source_branch_after_merge,Enable Delete source branch option by default for all new merge requests,1
post-/projects,BasicProjectDetails,request_access_enabled,request_access_enabled,,parameters,request_access_enabled,Allow users to request member access,1
post-/projects,BasicProjectDetails,resolve_outdated_diff_discussions,resolve_outdated_diff_discussions,,parameters,resolve_outdated_diff_discussions,Automatically resolve merge request diffs discussions on lines changed with a push,1
post-/projects,BasicProjectDetails,shared_runners_enabled,shared_runners_enabled,,parameters,shared_runners_enabled,Enable shared runners for this project,1
post-/projects,BasicProjectDetails,snippets_enabled,snippets_enabled,,parameters,snippets_enabled,(Deprecated)Enable snippets for this project. Use snippets_access_level instead,1
post-/projects,BasicProjectDetails,tag_list,tag_list,,parameters,tag_list,"The list of tags for a project; put array of tags, that should be finally assigned to a project",1
post-/projects,BasicProjectDetails,wiki_enabled,wiki_enabled,,parameters,wiki_enabled,(Deprecated)Enable wiki for this project. Use wiki_access_levelinstead,1
