endpoint,group,invariant,invariantType,variables,pptname,tp
get+groups,array,input.per_page >= size(return.array[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.per_page, size(return.array[..]))",/groups&/groups&get&200%array():::EXIT,1.0
get+groups,auto_devops_enabled,"return.auto_devops_enabled one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.auto_devops_enabled),/groups&/groups&get&200():::EXIT,1.0
get+groups,created_at,"LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT",1.0
get+groups,default_branch_protection,"return.default_branch_protection one of { 0, 1, 2 }",daikon.inv.unary.scalar.OneOfScalar,(return.default_branch_protection),/groups&/groups&get&200():::EXIT,1.0
get+groups,emails_disabled,"return.emails_disabled one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.emails_disabled),/groups&/groups&get&200():::EXIT,1.0
get+groups,full_path,"return.path is a substring of return.full_path
return.full_path is a substring of return.web_url","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.full_path, return.path)
(return.full_path, return.web_url)","/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT",1.0
get+groups,mentions_disabled,"return.mentions_disabled one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.mentions_disabled),/groups&/groups&get&200():::EXIT,1.0
get+groups,name,return.name is a substring of return.full_name,daikon.inv.binary.twoString.StdString$SubString,"(return.full_name, return.name)",/groups&/groups&get&200():::EXIT,1.0
get+groups,parent_id,"LENGTH(return.parent_id)==3
return.parent_id is Numeric","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsNumeric","(return.parent_id)
(return.parent_id)","/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT",0.5
get+groups,project_creation_level,"return.project_creation_level one of { ""developer"", ""maintainer"", ""noone"" }",daikon.inv.unary.string.OneOfString,(return.project_creation_level),/groups&/groups&get&200():::EXIT,1.0
