pptname,invariant,invariantType,variables,postmanAssertion,endpoint,tp,fp,enter,invariantDescription,Unnamed: 10,groups,api,group
/groups/{id}/issues&/groups/{id}/issues&get&200%array():::EXIT,input.per_page >= size(return.array[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.per_page, size(return.array[..]))",pm.expect(input_per_page).to.be.at.least(return_array_size_array),get+groups_{id}_issues,1.0,,,Represents an invariant of >= between two long scalars. Prints as x >= y.,,,GitLab Issues API,array
/groups/{id}/issues&/groups/{id}/issues&get&200%array():::EXIT,size(input.assignee_username[]) <= size(return.array[]),daikon.inv.binary.twoScalar.IntLessEqual,"(size(input.assignee_username[..]), size(return.array[..]))",pm.expect(input_assignee_username_size_array).to.be.lte(return_array_size_array),get+groups_{id}_issues,,1.0,,Represents an invariant of <= between two long scalars. Prints as x <= y.,,,GitLab Issues API,array
/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT,LENGTH(return.avatar_url)==81,daikon.inv.unary.string.FixedLengthString,(return.avatar_url),pm.expect(return_avatar_url).to.have.length(81),get+groups_{id}_issues,,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,assignees.avatar_url
/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT,return.avatar_url is Url,daikon.inv.unary.string.IsUrl,(return.avatar_url),"pm.expect(return_avatar_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",get+groups_{id}_issues,1.0,,,Indicates that the value of a string variable is always a URL. Represented as x is Url.,,,GitLab Issues API,assignees.avatar_url
/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT,"return.state == ""active""",daikon.inv.unary.string.OneOfString,(return.state),"pm.expect([""active""].includes(return_state)).to.be.true",get+groups_{id}_issues,,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,,GitLab Issues API,assignees.state
/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT,LENGTH(return.state)==6,daikon.inv.unary.string.FixedLengthString,(return.state),pm.expect(return_state).to.have.length(6),get+groups_{id}_issues,,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,,GitLab Issues API,assignees.state
/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT,input.per_page > return.id,daikon.inv.binary.twoScalar.IntGreaterThan,"(input.per_page, return.id)",pm.expect(input_per_page).to.be.greaterThan(return_id),get+groups_{id}_issues,,1.0,,Represents an invariant of > between two long scalars. Prints as x > y.,,,GitLab Issues API,assignees.id
/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT,input.assignee_id >= return.id,daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.assignee_id, return.id)",pm.expect(input_assignee_id).to.be.at.least(return_id),get+groups_{id}_issues,1.0,,,Represents an invariant of >= between two long scalars. Prints as x >= y.,,,GitLab Issues API,assignees.id
/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT,return.username is a substring of return.web_url,daikon.inv.binary.twoString.StdString$SubString,"(return.web_url, return.username)",pm.expect(return_web_url.includes(return_username)).to.be.true,get+groups_{id}_issues,1.0,,,Represents the substring invariant between two String scalars. Prints as x is a substring of y.,,,GitLab Issues API,assignees.web_url
/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT,return.id >= size(input.assignee_username[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(return.id, size(input.assignee_username[..]))",pm.expect(return_id).to.be.at.least(input_assignee_username_size_array),get+groups_{id}_issues,,1.0,,Represents an invariant of >= between two long scalars. Prints as x >= y.,,,GitLab Issues API,assignees.id
