pptname,invariant,invariantType,variables,postmanAssertion,endpoint,tp,fp,enter,invariantDescription,Unnamed: 10,group,api
/projects/{id}&/projects/{id}&get&200():::EXIT,input.license == return.issues_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.license, return.issues_enabled)",pm.expect(input_license).to.eql(return_issues_enabled),get+projects_{id},,1.0,,Represents an invariant of == between two long scalars. Prints as x == y.,,issues_enabled,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,input.license == return.ci_forward_deployment_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.license, return.ci_forward_deployment_enabled)",pm.expect(input_license).to.eql(return_ci_forward_deployment_enabled),get+projects_{id},,1.0,,Represents an invariant of == between two long scalars. Prints as x == y.,,ci_forward_deployment_enabled,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.owner.id == return.creator_id,daikon.inv.binary.twoScalar.IntEqual,"(return.owner.id, return.creator_id)",pm.expect(return_owner_id).to.eql(return_creator_id),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,owner.id,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.owner.name == return.namespace.name,daikon.inv.binary.twoString.StringEqual,"(return.owner.name, return.namespace.name)",pm.expect(return_owner_name).to.eql(return_namespace_name),get+projects_{id},1.0,,,Represents an invariant of == between two String scalars. Prints as x == y.,,owner.name,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.open_issues_count == return.forks_count,daikon.inv.binary.twoScalar.IntEqual,"(return.open_issues_count, return.forks_count)",pm.expect(return_open_issues_count).to.eql(return_forks_count),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,open_issues_count,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.open_issues_count == return.star_count,daikon.inv.binary.twoScalar.IntEqual,"(return.open_issues_count, return.star_count)",pm.expect(return_open_issues_count).to.eql(return_star_count),get+projects_{id},,1.0,,Represents an invariant of == between two long scalars. Prints as x == y.,,open_issues_count,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.open_issues_count == return.statistics.wiki_size,daikon.inv.binary.twoScalar.IntEqual,"(return.open_issues_count, return.statistics.wiki_size)",pm.expect(return_open_issues_count).to.eql(return_statistics_wiki_size),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,open_issues_count,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.open_issues_count == size(return.shared_with_groups[]),daikon.inv.binary.twoScalar.IntEqual,"(return.open_issues_count, size(return.shared_with_groups[..]))",pm.expect(return_open_issues_count).to.eql(return_shared_with_groups_size_array),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,open_issues_count,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.open_issues_count == size(return.shared_with_groups[]),daikon.inv.binary.twoScalar.IntEqual,"(return.open_issues_count, size(return.shared_with_groups[..]))",pm.expect(return_open_issues_count).to.eql(return_shared_with_groups_size_array),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,open_issues_count,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.open_issues_count == size(return.compliance_frameworks[]),daikon.inv.binary.twoScalar.IntEqual,"(return.open_issues_count, size(return.compliance_frameworks[..]))",pm.expect(return_open_issues_count).to.eql(return_compliance_frameworks_size_array),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,open_issues_count,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.open_issues_count == size(return.compliance_frameworks[]),daikon.inv.binary.twoScalar.IntEqual,"(return.open_issues_count, size(return.compliance_frameworks[..]))",pm.expect(return_open_issues_count).to.eql(return_compliance_frameworks_size_array),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,open_issues_count,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.merge_requests_enabled == return.can_create_merge_request_in,daikon.inv.binary.twoScalar.IntEqual,"(return.merge_requests_enabled, return.can_create_merge_request_in)",pm.expect(return_merge_requests_enabled).to.eql(return_can_create_merge_request_in),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,merge_requests_enabled,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.container_expiration_policy.enabled == return.archived,daikon.inv.binary.twoScalar.IntEqual,"(return.container_expiration_policy.enabled, return.archived)",pm.expect(return_container_expiration_policy_enabled).to.eql(return_archived),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,container_expiration_policy.enabled,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.created_at == return.last_activity_at,daikon.inv.binary.twoString.StringEqual,"(return.created_at, return.last_activity_at)",pm.expect(return_created_at).to.eql(return_last_activity_at),get+projects_{id},,1.0,,Represents an invariant of == between two String scalars. Prints as x == y.,,created_at,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.namespace.path == return.namespace.full_path,daikon.inv.binary.twoString.StringEqual,"(return.namespace.path, return.namespace.full_path)",pm.expect(return_namespace_path).to.eql(return_namespace_full_path),get+projects_{id},1.0,,,Represents an invariant of == between two String scalars. Prints as x == y.,,namespace.path,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.archived == return.service_desk_enabled,daikon.inv.binary.twoScalar.IntEqual,"(return.archived, return.service_desk_enabled)",pm.expect(return_archived).to.eql(return_service_desk_enabled),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,archived,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.license == return.forked_from_project.license,daikon.inv.binary.twoScalar.IntEqual,"(return.license, return.forked_from_project.license)",pm.expect(return_license).to.eql(return_forked_from_project_license),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,license,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.statistics.storage_size == return.statistics.repository_size,daikon.inv.binary.twoScalar.IntEqual,"(return.statistics.storage_size, return.statistics.repository_size)",pm.expect(return_statistics_storage_size).to.eql(return_statistics_repository_size),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,statistics.storage_size,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.statistics.wiki_size == return.statistics.lfs_objects_size,daikon.inv.binary.twoScalar.IntEqual,"(return.statistics.wiki_size, return.statistics.lfs_objects_size)",pm.expect(return_statistics_wiki_size).to.eql(return_statistics_lfs_objects_size),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,statistics.wiki_size,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.statistics.wiki_size == return.statistics.job_artifacts_size,daikon.inv.binary.twoScalar.IntEqual,"(return.statistics.wiki_size, return.statistics.job_artifacts_size)",pm.expect(return_statistics_wiki_size).to.eql(return_statistics_job_artifacts_size),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,statistics.job_artifacts_size,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.statistics.wiki_size == return.statistics.packages_size,daikon.inv.binary.twoScalar.IntEqual,"(return.statistics.wiki_size, return.statistics.packages_size)",pm.expect(return_statistics_wiki_size).to.eql(return_statistics_packages_size),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,statistics.wiki_size,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.statistics.wiki_size == return.statistics.snippets_size,daikon.inv.binary.twoScalar.IntEqual,"(return.statistics.wiki_size, return.statistics.snippets_size)",pm.expect(return_statistics_wiki_size).to.eql(return_statistics_snippets_size),get+projects_{id},1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,statistics.wiki_size,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,"return.default_branch one of { ""brushed"", ""main"", ""terrene"" }",daikon.inv.unary.string.OneOfString,(return.default_branch),"pm.expect([""brushed"", ""main"", ""terrene""].includes(return_default_branch)).to.be.true",get+projects_{id},,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,default_branch,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,"return.visibility one of { ""internal"", ""private"", ""public"" }",daikon.inv.unary.string.OneOfString,(return.visibility),"pm.expect([""internal"", ""private"", ""public""].includes(return_visibility)).to.be.true",get+projects_{id},1.0,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,visibility,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,"return.container_expiration_policy.cadence == ""1d""",daikon.inv.unary.string.OneOfString,(return.container_expiration_policy.cadence),"pm.expect([""1d""].includes(return_container_expiration_policy_cadence)).to.be.true",get+projects_{id},,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,container_expiration_policy.cadence,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,LENGTH(return.container_expiration_policy.cadence)==2,daikon.inv.unary.string.FixedLengthString,(return.container_expiration_policy.cadence),pm.expect(return_container_expiration_policy_cadence).to.have.length(2),get+projects_{id},,1.0,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,container_expiration_policy.cadence,GitLab Project API
/projects/{id}&/projects/{id}&get&200():::EXIT,return.container_expiration_policy.keep_n == 10,daikon.inv.unary.scalar.OneOfScalar,(return.container_expiration_policy.keep_n),pm.expect([10].includes(return_container_expiration_policy_keep_n)).to.be.true,get+projects_{id},,1.0,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,container_expiration_policy.keep_n,GitLab Project API
