endpoint,group,invariant,invariantType,variables,postmanAssertion,pptname
get+v1_apple_pay_domains,data,input.limit >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.data[..]))",pm.expect(input_limit).to.be.at.least(return_data_size_array),/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT
get+v1_apple_pay_domains,data.id,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(29),/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT
get+v1_apple_pay_domains,data.object,"return.object == ""apple_pay_domain""
LENGTH(return.object)==16","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.object)
(return.object)","pm.expect([""apple_pay_domain""].includes(return_object)).to.be.true
pm.expect(return_object).to.have.length(16)","/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT"
get+v1_apple_pay_domains,object,"return.object == ""list""
LENGTH(return.object)==4","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.object)
(return.object)","pm.expect([""list""].includes(return_object)).to.be.true
pm.expect(return_object).to.have.length(4)","/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT"
get+v1_apple_pay_domains,url,"return.url == ""/v1/apple_pay/domains""
LENGTH(return.url)==21","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.url)
(return.url)","pm.expect([""/v1/apple_pay/domains""].includes(return_url)).to.be.true
pm.expect(return_url).to.have.length(21)","/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT"
get+v1_radar_value_list_items,data,input.limit > size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterThan,"(input.limit, size(return.data[..]))",pm.expect(input_limit).to.be.greaterThan(return_data_size_array),/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT
get+v1_radar_value_list_items,data.created_by,"return.created_by == ""API""
LENGTH(return.created_by)==3","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.created_by)
(return.created_by)","pm.expect([""API""].includes(return_created_by)).to.be.true
pm.expect(return_created_by).to.have.length(3)","/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT"
get+v1_radar_value_list_items,data.id,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(29),/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT
get+v1_radar_value_list_items,data.object,"return.object == ""radar.value_list_item""
LENGTH(return.object)==21","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.object)
(return.object)","pm.expect([""radar.value_list_item""].includes(return_object)).to.be.true
pm.expect(return_object).to.have.length(21)","/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT"
get+v1_radar_value_list_items,data.value_list,input.value_list == return.value_list,daikon.inv.binary.twoString.StringEqual,"(input.value_list, return.value_list)",pm.expect(input_value_list).to.eql(return_value_list),/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT
