operation,response resource,attribute,group,description
get-/projects,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
get-/projects,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,marked_for_deletion_at,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}"
get-/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
post-/projects,BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
post-/projects,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects,BasicProjectDetails,marked_for_deletion_at,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}"
post-/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
post-/projects/{id}/repository/branches,RepoCommit,author_email,commit.author_email,"{""type"": ""string""}"
post-/projects/{id}/repository/branches,RepoCommit,committer_email,commit.committer_email,"{""type"": ""string""}"
post-/projects/{id}/repository/branches,Branch,web_url,web_url,"{""type"": ""string""}"
get-/projects/{id}/repository/branches,RepoCommit,author_email,commit.author_email,"{""type"": ""string""}"
get-/projects/{id}/repository/branches,RepoCommit,committer_email,commit.committer_email,"{""type"": ""string""}"
get-/projects/{id}/repository/branches,Branch,web_url,web_url,"{""type"": ""string""}"
get-/projects/{id}/repository/branches/{branch},RepoCommit,author_email,commit.author_email,"{""type"": ""string""}"
get-/projects/{id}/repository/branches/{branch},RepoCommit,committer_email,commit.committer_email,"{""type"": ""string""}"
