operation,response resource,attribute,group,description
get-/projects,BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
get-/projects,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,avatar_url,avatar_url,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,marked_for_deletion_at,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}"
get-/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
get-/projects/{id}/repository/commits,RepoCommit,author_email,author_email,"{""type"": ""string""}"
get-/projects/{id}/repository/commits,RepoCommit,committer_email,committer_email,"{""type"": ""string""}"
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}"
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}"
get-/projects/{id}/repository/commits/{sha}/merge_requests,Author,avatar_url,author.avatar_url,"{""type"": ""string""}"
get-/projects/{id}/repository/commits/{sha}/merge_requests,MergeRequests,web_url,web_url,"{""type"": ""string""}"
get-/projects/{id}/repository/commits/{sha}/refs,RepoCommitRefs,type,type,"{""type"": ""string"", ""enum"": [""branch"", ""tag"", ""all""]}"
get-/projects/{id}/repository/commits/{sha}/signature,Signature,gpg_key_user_email,gpg_key_user_email,"{""type"": ""string""}"
get-/projects/{id}/repository/commits/{sha}/statuses,Author,web_url,author.web_url,"{""type"": ""string""}"
get-/projects/{id}/repository/commits/{sha}/statuses,Author,avatar_url,author.avatar_url,"{""type"": ""string""}"
get-/projects/{id}/repository/commits/{sha}/statuses,CommitStatus,target_url,target_url,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
post-/projects,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects,BasicProjectDetails,avatar_url,avatar_url,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
post-/projects/{id}/repository/commits,RepoCommitDetail,author_email,author_email,"{""type"": ""string""}"
post-/projects/{id}/repository/commits,RepoCommitDetail,committer_email,committer_email,"{""type"": ""string""}"
post-/projects/{id}/repository/commits,RepoCommitDetail,web_url,web_url,"{""type"": ""string""}"
post-/projects/{id}/statuses/{sha},Author,web_url,author.web_url,"{""type"": ""string""}"
post-/projects/{id}/statuses/{sha},Author,avatar_url,author.avatar_url,"{""type"": ""string""}"
post-/projects/{id}/statuses/{sha},CommitStatus,target_url,target_url,"{""type"": ""string""}"
get-/projects/{id}/repository/commits/{sha}/signature,X509Issuer,crl_url,x509_certificate.x509_issuer.crl_url,"{ ""type"": ""string"" }"
post-/projects,BasicProjectDetails,marked_for_deletion_at,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}"
