operation,response resource,attribute,group,description
get-/groups,Group,avatar_url,avatar_url,"{""type"": ""string""}"
get-/groups,Group,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups,Group,web_url,web_url,"{""type"": ""string""}"
get-/groups/{id},GroupDetails,avatar_url,avatar_url,"{""type"": ""string""}"
get-/groups/{id},Project,http_url_to_repo,projects.http_url_to_repo,"{""type"": ""string""}"
get-/groups/{id},Project,web_url,projects.web_url,"{""type"": ""string""}"
get-/groups/{id}/descendant_groups,Group,avatar_url,avatar_url,"{""type"": ""string""}"
get-/groups/{id}/descendant_groups,Group,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups/{id}/descendant_groups,Group,web_url,web_url,"{""type"": ""string""}"
get-/groups/{id}/hooks,Hook,url,url,"{""type"": ""string""}"
get-/groups/{id}/hooks/{hook_id},Hook,url,url,"{""type"": ""string""}"
get-/groups/{id}/projects,Project,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
get-/groups/{id}/projects,Project,web_url,web_url,"{""type"": ""string""}"
get-/groups/{id}/projects,Project,readme_url,readme_url,"{""type"": ""string""}"
get-/groups/{id}/projects,Project,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups/{id}/projects,Project,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups/{id}/projects/shared,SharedProject,avatar_url,avatar_url,"{""type"": ""string""}"
get-/groups/{id}/projects/shared,ContainerExpirationPolicy,next_run_at,container_expiration_policy.next_run_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups/{id}/projects/shared,SharedProject,emails_disabled,emails_disabled,"{""type"": ""string""}"
get-/groups/{id}/projects/shared,SharedProject,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
get-/groups/{id}/projects/shared,SharedProject,readme_url,readme_url,"{""type"": ""string""}"
get-/groups/{id}/projects/shared,SharedProject,web_url,web_url,"{""type"": ""string""}"
get-/groups/{id}/subgroups,Group,avatar_url,avatar_url,"{""type"": ""string""}"
get-/groups/{id}/subgroups,Group,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups/{id}/subgroups,Group,web_url,web_url,"{""type"": ""string""}"
post-/groups,Group,avatar_url,avatar_url,"{""type"": ""string""}"
post-/groups,Group,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/groups,Group,web_url,web_url,"{""type"": ""string""}"
post-/groups/{id}/hooks,Hook,url,url,"{""type"": ""string""}"
post-/groups/{id}/projects/{project_id},SharedProject,avatar_url,avatar_url,"{""type"": ""string""}"
post-/groups/{id}/projects/{project_id},SharedProject,emails_disabled,emails_disabled,"{""type"": ""string""}"
post-/groups/{id}/projects/{project_id},SharedProject,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/groups/{id}/projects/{project_id},SharedProject,readme_url,readme_url,"{""type"": ""string""}"
post-/groups/{id}/projects/{project_id},SharedProject,web_url,web_url,"{""type"": ""string""}"
post-/groups/{id}/share,GroupDetails,avatar_url,avatar_url,"{""type"": ""string""}"
post-/groups/{id}/share,Project,http_url_to_repo,projects.http_url_to_repo,"{""type"": ""string""}"
post-/groups/{id}/share,GroupDetails,web_url,web_url,"{""type"": ""string""}"
post-/groups/{id}/share,Project,readme_url,projects.readme_url,"{""type"": ""string""}"
post-/groups/{id}/share,GroupDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/groups/{id}/share,Project,last_activity_at,projects.last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
put-/groups/{id},GroupDetails,avatar_url,avatar_url,"{""type"": ""string""}"
put-/groups/{id},Project,http_url_to_repo,projects.http_url_to_repo,"{""type"": ""string""}"
put-/groups/{id},GroupDetails,web_url,web_url,"{""type"": ""string""}"
put-/groups/{id},GroupDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
put-/groups/{id},Project,last_activity_at,projects.last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
put-/groups/{id}/hooks/{hook_id},Hook,url,url,"{""type"": ""string""}"
post-/groups/{id}/projects/{project_id},ContainerExpirationPolicy,next_run_at,container_expiration_policy.next_run_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups/{id},Project,created_at,projects.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups/{id},Project,last_activity_at,projects.last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/groups/{id}/share,Project,avatar_url,projects.avatar_url,"{""type"": ""string""}"
post-/groups/{id}/share,Project,created_at,projects.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/groups/{id}/share,Project,web_url,projects.web_url,
put-/groups/{id},Project,created_at,projects.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
put-/groups/{id},Project,web_url,projects.web_url,"{""type"": ""string""}"
