endpoint,group,response resource,attribute,description
get+groups_{id},id,GroupDetails,id,Attribute id is responded to by parameter id with a description: The ID orURL-encoded path of the groupowned by the authenticated user
get+groups_{id}_hooks,group_id,Hook,group_id,Attribute group_id is responded to by parameter id with a description: The ID orURL-encoded path of the groupof the immediate parent group
get+groups_{id}_hooks_{hook_id},group_id,Hook,group_id,Attribute group_id is responded to by parameter id with a description: The ID orURL-encoded path of the group
get+groups_{id}_hooks_{hook_id},id,Hook,id,Attribute id is responded to by parameter hook_id with a description: The ID of a group hook
get+groups_{id}_projects,id,Project,id,Attribute id is responded to by parameter id with a description: The ID orURL-encoded path of the groupowned by the authenticated user
get+groups_{id}_projects,issues_enabled,Project,issues_enabled,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by projects with issues feature enabled. Default is false
get+groups_{id}_projects,merge_requests_enabled,Project,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by projects with merge requests feature enabled. Default is false
get+groups_{id}_projects,archived,Project,archived,Attribute archived is responded to by parameter archived with a description: Limit by archived status
get+groups_{id}_projects,visibility,Project,visibility,"Attribute visibility is responded to by parameter visibility with a description: Limit by visibilitypublic,internal, orprivate"
get+groups_{id}_projects_shared,archived,SharedProject,archived,Attribute archived is responded to by parameter archived with a description: Limit by archived status
get+groups_{id}_projects_shared,issues_enabled,SharedProject,issues_enabled,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by projects with issues feature enabled. Default is false
get+groups_{id}_projects_shared,merge_requests_enabled,SharedProject,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by projects with merge requests feature enabled. Default is false
get+groups_{id}_projects_shared,visibility,SharedProject,visibility,"Attribute visibility is responded to by parameter visibility with a description: Limit by visibilitypublic,internal, orprivate"
get+groups_{id}_subgroups,id,Group,id,Attribute id is responded to by parameter id with a description: The ID orURL-encoded path of the groupof the immediate parent group
post+groups,default_branch_protection,Group,default_branch_protection,Attribute default_branch_protection is responded to by parameter default_branch_protection with a description: SeeOptions fordefault_branch_protection. Default to the global level default branch protection setting
post+groups,two_factor_grace_period,Group,two_factor_grace_period,Attribute two_factor_grace_period is responded to by parameter two_factor_grace_period with a description: Time before Two-factor authentication is enforced (in hours)
post+groups,lfs_enabled,Group,lfs_enabled,Attribute lfs_enabled is responded to by parameter lfs_enabled with a description: Enable/disable Large File Storage (LFS) for the projects in this group
post+groups,require_two_factor_authentication,Group,require_two_factor_authentication,Attribute require_two_factor_authentication is responded to by parameter require_two_factor_authentication with a description: Require all users in this group to setup Two-factor authentication
post+groups,share_with_group_lock,Group,share_with_group_lock,Attribute share_with_group_lock is responded to by parameter share_with_group_lock with a description: Prevent sharing a project with another group within this group
post+groups,description,Group,description,Attribute description is responded to by parameter description with a description: The group's description
