operation,response resource,attribute,group,description,part,corresponding attribute,corresponding attribute description
get-/groups/{id}/issues,Issue,id,id,,parameters,id,The ID or URL-encoded path of the group owned by the authenticated user
get-/groups/{id}/issues,Issue,project_id,project_id,,parameters,id,The ID or URL-encoded path of the group owned by the authenticated user
get-/groups/{id}/issues,Issue,created_at,created_at,,parameters,created_after,Return issues created on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/groups/{id}/issues,Issue,created_at,created_at,,parameters,created_before,Return issues created on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/groups/{id}/issues,Issue,created_at,created_at,,parameters,created_after,Return issues created on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/groups/{id}/issues,Issue,created_at,created_at,,parameters,created_before,Return issues created on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/groups/{id}/issues,Issue,due_date,due_date,,parameters,due_date,"Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )"
get-/groups/{id}/issues,Issue,state,state,,parameters,state,Return all issues or just those that are opened or closed
get-/groups/{id}/issues,Issue,updated_at,updated_at,,parameters,updated_after,Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/groups/{id}/issues,Issue,updated_at,updated_at,,parameters,updated_before,Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/groups/{id}/issues,Issue,updated_at,updated_at,,parameters,updated_after,Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/groups/{id}/issues,Issue,updated_at,updated_at,,parameters,updated_before,Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/groups/{id}/issues,Issue,confidential,confidential,,parameters,confidential,Filter confidential or public issues
get-/issues,Issue,created_at,created_at,,parameters,created_before,Return issues created on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/issues,Issue,created_at,created_at,,parameters,created_after,Return issues created on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/issues,Issue,created_at,created_at,,parameters,created_before,Return issues created on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/issues,Issue,created_at,created_at,,parameters,created_after,Return issues created on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/issues,Issue,due_date,due_date,,parameters,due_date,"Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )"
get-/issues,Issue,state,state,,parameters,state,Return all issues or just those that are opened or closed
get-/issues,Issue,updated_at,updated_at,,parameters,updated_before,Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/issues,Issue,updated_at,updated_at,,parameters,updated_after,Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/issues,Issue,updated_at,updated_at,,parameters,updated_before,Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/issues,Issue,updated_at,updated_at,,parameters,updated_after,Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/issues,Issue,confidential,confidential,,parameters,confidential,Filter confidential or public issues
get-/issues/{id},Issue,id,id,,parameters,id,The ID of the issue
get-/projects,BasicProjectDetails,issues_enabled,issues_enabled,,parameters,with_issues_enabled,Limit by enabled issues feature
get-/projects,BasicProjectDetails,merge_requests_enabled,merge_requests_enabled,,parameters,with_merge_requests_enabled,Limit by enabled merge requests feature
get-/projects,BasicProjectDetails,archived,archived,,parameters,archived,Limit by archived status
get-/projects,BasicProjectDetails,id,id,,parameters,id_before,Limit results to projects with IDs less than the specified ID
get-/projects,BasicProjectDetails,id,id,,parameters,id_after,Limit results to projects with IDs greater than the specified ID
get-/projects,BasicProjectDetails,id,id,,parameters,id_before,Limit results to projects with IDs less than the specified ID
get-/projects,BasicProjectDetails,id,id,,parameters,id_after,Limit results to projects with IDs greater than the specified ID
get-/projects,BasicProjectDetails,visibility,visibility,,parameters,visibility,Limit by visibility
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_after,Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_before,Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_after,Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_before,Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
get-/projects,BasicProjectDetails,repository_storage,repository_storage,,parameters,repository_storage,Limit results to projects stored on repository_storage. (admins only)
get-/projects/{id}/issues,Issue,id,id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user user
get-/projects/{id}/issues,Issue,created_at,created_at,,parameters,created_before,Return issues created on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/projects/{id}/issues,Issue,created_at,created_at,,parameters,created_after,Return issues created on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/projects/{id}/issues,Issue,created_at,created_at,,parameters,created_before,Return issues created on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/projects/{id}/issues,Issue,created_at,created_at,,parameters,created_after,Return issues created on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/projects/{id}/issues,Issue,due_date,due_date,,parameters,due_date,"Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )"
get-/projects/{id}/issues,Issue,state,state,,parameters,state,Return all issues or just those that are opened or closed
get-/projects/{id}/issues,Issue,updated_at,updated_at,,parameters,updated_before,Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/projects/{id}/issues,Issue,updated_at,updated_at,,parameters,updated_after,Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/projects/{id}/issues,Issue,updated_at,updated_at,,parameters,updated_before,Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/projects/{id}/issues,Issue,updated_at,updated_at,,parameters,updated_after,Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get-/projects/{id}/issues,Issue,confidential,confidential,,parameters,confidential,Filter confidential or public issues
get-/projects/{id}/issues/{issue_iid},Issue,id,id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
get-/projects/{id}/issues/{issue_iid},Issue,iid,iid,,parameters,issue_iid,The internal ID of a project's issue
get-/projects/{id}/issues/{issue_iid},Issue,project_id,project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
get-/projects/{id}/issues/{issue_iid}/closed_by,MergeRequest,project_id,project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
get-/projects/{id}/issues/{issue_iid}/related_merge_requests,MergeRequest,project_id,project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
get-/projects/{id}/issues/{issue_iid}/related_merge_requests,MergeRequest,target_project_id,target_project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
post-/groups,Group,default_branch_protection,default_branch_protection,,parameters,default_branch_protection,SeeOptions fordefault_branch_protection. Default to the global level default branch protection setting
post-/groups,Group,two_factor_grace_period,two_factor_grace_period,,parameters,two_factor_grace_period,Time before Two-factor authentication is enforced (in hours)
post-/groups,Group,lfs_enabled,lfs_enabled,,parameters,lfs_enabled,Enable/disable Large File Storage (LFS) for the projects in this group
post-/groups,Group,require_two_factor_authentication,require_two_factor_authentication,,parameters,require_two_factor_authentication,Require all users in this group to setup Two-factor authentication
post-/groups,Group,share_with_group_lock,share_with_group_lock,,parameters,share_with_group_lock,Prevent sharing a project with another group within this group
post-/groups,Group,description,description,,requestBody,description,The group's description
post-/groups,Group,full_name,full_name,,requestBody,name,The name of the group
post-/groups,Group,full_path,full_path,,requestBody,path,The path of the group
post-/groups,Group,name,name,,requestBody,name,The name of the group
post-/groups,Group,path,path,,requestBody,path,The path of the group
post-/groups,Group,project_creation_level,project_creation_level,,parameters,project_creation_level,"Determine if developers can create projects in the group. Can benoone(No one),maintainer(Maintainers), or developer(Developers + Maintainers)"
post-/groups,Group,subgroup_creation_level,subgroup_creation_level,,parameters,subgroup_creation_level,"Allowed to create subgroups. Can be owner(Owners), or maintainer(Maintainers)"
post-/groups,Group,visibility,visibility,,parameters,visibility,"The group's visibility. Can be private,internal, orpublic"
post-/projects,BasicProjectDetails,issues_enabled,issues_enabled,,parameters,issues_enabled,(Deprecated)Enable issues for this project. Use issues_access_level instead
post-/projects,BasicProjectDetails,merge_requests_enabled,merge_requests_enabled,,parameters,merge_requests_enabled,(Deprecated)Enable merge requests for this project. Use merge_requests_access_level instead
post-/projects,BasicProjectDetails,jobs_enabled,jobs_enabled,,parameters,jobs_enabled,(Deprecated)Enable jobs for this project. Use builds_access_level instead
post-/projects,BasicProjectDetails,wiki_enabled,wiki_enabled,,parameters,wiki_enabled,(Deprecated)Enable wiki for this project. Use wiki_access_levelinstead
post-/projects,BasicProjectDetails,snippets_enabled,snippets_enabled,,parameters,snippets_enabled,(Deprecated)Enable snippets for this project. Use snippets_access_level instead
post-/projects,BasicProjectDetails,resolve_outdated_diff_discussions,resolve_outdated_diff_discussions,,parameters,resolve_outdated_diff_discussions,Automatically resolve merge request diffs discussions on lines changed with a push
post-/projects,BasicProjectDetails,container_registry_enabled,container_registry_enabled,,parameters,container_registry_enabled,Enable container registry for this project
post-/projects,BasicProjectDetails,shared_runners_enabled,shared_runners_enabled,,parameters,shared_runners_enabled,Enable shared runners for this project
post-/projects,BasicProjectDetails,public_jobs,public_jobs,,parameters,public_builds,"If true, jobs can be viewed by non-project members"
post-/projects,BasicProjectDetails,only_allow_merge_if_pipeline_succeeds,only_allow_merge_if_pipeline_succeeds,,parameters,only_allow_merge_if_pipeline_succeeds,Set whether merge requests can only be merged with successful jobs
post-/projects,BasicProjectDetails,allow_merge_on_skipped_pipeline,allow_merge_on_skipped_pipeline,,parameters,allow_merge_on_skipped_pipeline,Set whether or not merge requests can be merged with skipped jobs
post-/projects,BasicProjectDetails,only_allow_merge_if_all_discussions_are_resolved,only_allow_merge_if_all_discussions_are_resolved,,parameters,only_allow_merge_if_all_discussions_are_resolved,Set whether merge requests can only be merged when all the discussions are resolved
post-/projects,BasicProjectDetails,remove_source_branch_after_merge,remove_source_branch_after_merge,,parameters,remove_source_branch_after_merge,Enable Delete source branch option by default for all new merge requests
post-/projects,BasicProjectDetails,request_access_enabled,request_access_enabled,,parameters,request_access_enabled,Allow users to request member access
post-/projects,BasicProjectDetails,auto_devops_enabled,auto_devops_enabled,,parameters,auto_devops_enabled,Enable Auto DevOps for this project
post-/projects,BasicProjectDetails,packages_enabled,packages_enabled,,parameters,packages_enabled,Enable or disable packages repository feature
post-/projects,BasicProjectDetails,autoclose_referenced_issues,autoclose_referenced_issues,,parameters,autoclose_referenced_issues,Set whether auto-closing referenced issues on default branch
post-/projects,BasicProjectDetails,description,description,,parameters,description,Short project description
post-/projects,BasicProjectDetails,default_branch,default_branch,,parameters,default_branch,master by default
post-/projects,BasicProjectDetails,visibility,visibility,,parameters,visibility,See project visibility level
post-/projects,BasicProjectDetails,name,name,,parameters,name,"The name of the new project. Either path or name is required, not both"
post-/projects,BasicProjectDetails,path,path,,parameters,path,Repository name for new project. Generated based on name if not provided (generated as lowercase with dashes)
post-/projects,BasicProjectDetails,merge_method,merge_method,,parameters,merge_method,Set the merge method used
post-/projects,BasicProjectDetails,auto_devops_deploy_strategy,auto_devops_deploy_strategy,,parameters,auto_devops_deploy_strategy,Auto Deploy strategy
post-/projects,BasicProjectDetails,repository_storage,repository_storage,,parameters,repository_storage,Which storage shard the repository is on.(admins only)
post-/projects,BasicProjectDetails,tag_list,tag_list,,parameters,tag_list,"The list of tags for a project; put array of tags, that should be finally assigned to a project"
post-/projects/{id}/issues,Issue,iid,iid,,parameters,iid,The internal ID of the project's issue (requires administratoror project owner rights)
post-/projects/{id}/issues,Issue,project_id,project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
post-/projects/{id}/issues,Issue,created_at,created_at,,parameters,created_at,"When the issue was created. Date time string, ISO 8601 formatted, for example 2016-03-11T03:45:40Z . Requires administrator or project/group owner rights"
post-/projects/{id}/issues,Issue,description,description,,parameters,description,"The description of an issue. Limited to 1,048,576 characters"
post-/projects/{id}/issues,Issue,due_date,due_date,,parameters,due_date,"The due date. Date time string in the format YYYY-MM-DD , for example 2016-03-11"
post-/projects/{id}/issues,Issue,title,title,,parameters,title,The title of an issue
post-/projects/{id}/issues,Issue,confidential,confidential,,parameters,confidential,Set an issue to be confidential. Default is false
post-/projects/{id}/issues/{issue_iid}/add_spent_time,TimeEstimate,human_time_estimate,human_time_estimate,,parameters,duration,The duration in human format. e.g: 3h30m
post-/projects/{id}/issues/{issue_iid}/move,Issue,iid,iid,,parameters,issue_iid,The internal ID of the project's issue
post-/projects/{id}/issues/{issue_iid}/move,Issue,project_id,project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
post-/projects/{id}/issues/{issue_iid}/move,Issue,project_id,project_id,,parameters,to_project_id,The ID of the new project
post-/projects/{id}/issues/{issue_iid}/move,Issue,project_id,project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
post-/projects/{id}/issues/{issue_iid}/move,Issue,project_id,project_id,,parameters,to_project_id,The ID of the new project
post-/projects/{id}/issues/{issue_iid}/subscribe,Issue,iid,iid,,parameters,issue_iid,The internal ID of the project's issue
post-/projects/{id}/issues/{issue_iid}/subscribe,Issue,project_id,project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
post-/projects/{id}/issues/{issue_iid}/time_estimate,TimeEstimate,human_time_estimate,human_time_estimate,,parameters,duration,The duration in human format. e.g: 3h30m
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Issue,iid,iid,,parameters,issue_iid,The internal ID of the project's issue
post-/projects/{id}/issues/{issue_iid}/unsubscribe,Issue,project_id,project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
put-/projects/{id}/issues/{issue_iid},Issue,iid,iid,,parameters,issue_iid,The internal ID of a project's issue
put-/projects/{id}/issues/{issue_iid},Issue,project_id,project_id,,parameters,id,The ID or URL-encoded path of the project owned by the authenticated user
put-/projects/{id}/issues/{issue_iid},Issue,description,description,,parameters,description,"The description of an issue. Limited to 1,048,576 characters"
put-/projects/{id}/issues/{issue_iid},Issue,due_date,due_date,,parameters,due_date,"The due date. Date time string in the format YYYY-MM-DD , for example 2016-03-11"
put-/projects/{id}/issues/{issue_iid},Issue,title,title,,parameters,title,The title of an issue
put-/projects/{id}/issues/{issue_iid},Issue,updated_at,updated_at,,parameters,updated_at,"When the issue was updated. Date time string, ISO 8601 formatted, for example 2016-03-11T03:45:40Z (requires administrator or project owner rights). Empty string or null values are not accepted"
put-/projects/{id}/issues/{issue_iid},Issue,confidential,confidential,,parameters,confidential,"Updates an issue to be confidential. At least one of the following parameters is required for the request to be successful: assignee_id, assignee_ids, confidential, created_at, description, discussion_locked, due_date, labels, milestone_id, state_event, title"
put-/projects/{id}/issues/{issue_iid},Issue,discussion_locked,discussion_locked,,parameters,discussion_locked,Flag indicating if the issue's discussion is locked. If the discussion is locked only project members can add or edit comments
