operation,response resource,attribute,group,description
get-/groups,Group,avatar_url,avatar_url,"{""type"": ""string""}"
get-/groups,Group,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups,Group,emails_disabled,emails_disabled,"{""type"": ""string""}"
get-/groups,Group,web_url,web_url,"{""type"": ""string""}"
get-/groups/{id}/issues,Author,web_url,assignee.web_url,"{""type"": ""string""}"
get-/groups/{id}/issues,Author,web_url,assignees.web_url,"{""type"": ""string""}"
get-/groups/{id}/issues,Author,web_url,author.web_url,"{""type"": ""string""}"
get-/groups/{id}/issues,Author,avatar_url,assignee.avatar_url,"{""type"": ""string""}"
get-/groups/{id}/issues,Author,avatar_url,assignees.avatar_url,"{""type"": ""string""}"
get-/groups/{id}/issues,Author,avatar_url,author.avatar_url,"{""type"": ""string""}"
get-/groups/{id}/issues,ClosedBy,avatar_url,closed_by.avatar_url,"{""type"": ""string""}"
get-/groups/{id}/issues,ClosedBy,web_url,closed_by.web_url,"{""type"": ""string""}"
get-/groups/{id}/issues,Milestone,created_at,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/groups/{id}/issues,Milestone,closed_at,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues,Author,web_url,assignee.web_url,"{""type"": ""string""}"
get-/issues,Author,web_url,assignees.web_url,"{""type"": ""string""}"
get-/issues,Author,web_url,author.web_url,"{""type"": ""string""}"
get-/issues,Author,avatar_url,assignee.avatar_url,"{""type"": ""string""}"
get-/issues,Author,avatar_url,assignees.avatar_url,"{""type"": ""string""}"
get-/issues,Author,avatar_url,author.avatar_url,"{""type"": ""string""}"
get-/issues,ClosedBy,avatar_url,closed_by.avatar_url,"{""type"": ""string""}"
get-/issues,ClosedBy,web_url,closed_by.web_url,"{""type"": ""string""}"
get-/issues,Issue,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues,Milestone,created_at,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues,Milestone,closed_at,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues,Milestone,start_date,milestone.start_date,"{""type"": ""string""}"
get-/issues,Milestone,updated_at,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues,Issue,updated_at,updated_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues/{id},Author,web_url,assignee.web_url,"{""type"": ""string""}"
get-/issues/{id},Author,web_url,assignees.web_url,"{""type"": ""string""}"
get-/issues/{id},Author,web_url,author.web_url,"{""type"": ""string""}"
get-/issues/{id},Author,avatar_url,assignee.avatar_url,"{""type"": ""string""}"
get-/issues/{id},Author,avatar_url,assignees.avatar_url,"{""type"": ""string""}"
get-/issues/{id},Author,avatar_url,author.avatar_url,"{""type"": ""string""}"
get-/issues/{id},ClosedBy,avatar_url,closed_by.avatar_url,"{""type"": ""string""}"
get-/issues/{id},ClosedBy,web_url,closed_by.web_url,"{""type"": ""string""}"
get-/issues/{id},Issue,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues/{id},Issue,due_date,due_date,"{""type"": ""string"", ""format"": ""date""}"
get-/issues/{id},Milestone,created_at,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues/{id},Milestone,closed_at,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues/{id},Milestone,updated_at,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues/{id},Issue,updated_at,updated_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/issues/{id},Issue,web_url,web_url,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,avatar_url,avatar_url,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,marked_for_deletion_at,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}"
get-/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
get-/projects/{id}/issues,Author,web_url,assignee.web_url,"{""type"": ""string""}"
get-/projects/{id}/issues,Author,web_url,assignees.web_url,"{""type"": ""string""}"
get-/projects/{id}/issues,Author,web_url,author.web_url,"{""type"": ""string""}"
