operation,response resource,attribute,group,description,part,corresponding attribute,corresponding attribute description
get-/projects,BasicProjectDetails,issues_enabled,issues_enabled,,parameters,with_issues_enabled,Limit by enabled issues feature
get-/projects,BasicProjectDetails,merge_requests_enabled,merge_requests_enabled,,parameters,with_merge_requests_enabled,Limit by enabled merge requests feature
get-/projects,BasicProjectDetails,archived,archived,,parameters,archived,Limit by archived status
get-/projects,BasicProjectDetails,id,id,,parameters,id_after,Limit results to projects with IDs greater than the specified ID
get-/projects,BasicProjectDetails,id,id,,parameters,id_before,Limit results to projects with IDs less than the specified ID
get-/projects,BasicProjectDetails,id,id,,parameters,id_after,Limit results to projects with IDs greater than the specified ID
get-/projects,BasicProjectDetails,id,id,,parameters,id_before,Limit results to projects with IDs less than the specified ID
get-/projects,BasicProjectDetails,visibility,visibility,,parameters,visibility,Limit by visibility
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_after,Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_before,Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_after,Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,,parameters,last_activity_before,Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
get-/projects,BasicProjectDetails,repository_storage,repository_storage,,parameters,repository_storage,Limit results to projects stored on repository_storage. (admins only)
get-/projects/{id}/forks,Project,issues_enabled,issues_enabled,,parameters,with_issues_enabled,Limit by enabled issues feature
get-/projects/{id}/forks,Project,merge_requests_enabled,merge_requests_enabled,,parameters,with_merge_requests_enabled,Limit by enabled merge requests feature
get-/projects/{id}/forks,Project,archived,archived,,parameters,archived,Limit by archived status
get-/projects/{id}/forks,Project,id,id,,parameters,id,The ID orURL-encoded path of the project
get-/projects/{id}/forks,Project,visibility,visibility,,parameters,visibility,"Limit by visibilitypublic,internal, orprivate"
get-/users/{user_id}/projects,BasicProjectDetails,issues_enabled,issues_enabled,,parameters,with_issues_enabled,Limit by enabled issues feature
get-/users/{user_id}/projects,BasicProjectDetails,merge_requests_enabled,merge_requests_enabled,,parameters,with_merge_requests_enabled,Limit by enabled merge requests feature
get-/users/{user_id}/projects,BasicProjectDetails,archived,archived,,parameters,archived,Limit by archived status
get-/users/{user_id}/projects,BasicProjectDetails,id,id,,parameters,id_before,Limit results to projects with IDs less than the specified ID
get-/users/{user_id}/projects,BasicProjectDetails,id,id,,parameters,id_after,Limit results to projects with IDs greater than the specified ID
get-/users/{user_id}/projects,BasicProjectDetails,id,id,,parameters,id_before,Limit results to projects with IDs less than the specified ID
get-/users/{user_id}/projects,BasicProjectDetails,id,id,,parameters,id_after,Limit results to projects with IDs greater than the specified ID
get-/users/{user_id}/projects,BasicProjectDetails,visibility,visibility,,parameters,visibility,Limit by visibility
get-/users/{user_id}/starred_projects,BasicProjectDetails,issues_enabled,issues_enabled,,parameters,with_issues_enabled,Limit by enabled issues feature
get-/users/{user_id}/starred_projects,BasicProjectDetails,merge_requests_enabled,merge_requests_enabled,,parameters,with_merge_requests_enabled,Limit by enabled merge requests feature
get-/users/{user_id}/starred_projects,BasicProjectDetails,archived,archived,,parameters,archived,Limit by archived status
get-/users/{user_id}/starred_projects,BasicProjectDetails,visibility,visibility,,parameters,visibility,Limit by visibility
post-/projects,BasicProjectDetails,issues_enabled,issues_enabled,,parameters,issues_enabled,(Deprecated)Enable issues for this project. Use issues_access_level instead
post-/projects,BasicProjectDetails,merge_requests_enabled,merge_requests_enabled,,parameters,merge_requests_enabled,(Deprecated)Enable merge requests for this project. Use merge_requests_access_level instead
post-/projects,BasicProjectDetails,jobs_enabled,jobs_enabled,,parameters,jobs_enabled,(Deprecated)Enable jobs for this project. Use builds_access_level instead
post-/projects,BasicProjectDetails,wiki_enabled,wiki_enabled,,parameters,wiki_enabled,(Deprecated)Enable wiki for this project. Use wiki_access_levelinstead
post-/projects,BasicProjectDetails,snippets_enabled,snippets_enabled,,parameters,snippets_enabled,(Deprecated)Enable snippets for this project. Use snippets_access_level instead
