operation,response resource,attribute,group,description
get-/projects,BasicProjectDetails,ssh_url_to_repo,ssh_url_to_repo,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
get-/projects,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects,BasicProjectDetails,avatar_url,avatar_url,"{""type"": ""string""}"
get-/projects,BasicProjectDetails,marked_for_deletion_at,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}"
get-/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
get-/projects/{id},ProjectWithAcess,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}_x000D_"
get-/projects/{id},ProjectWithAcess,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}_x000D_"
get-/projects/{id},ProjectWithAcess,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}_x000D_"
get-/projects/{id},ContainerExpirationPolicy,next_run_at,container_expiration_policy.next_run_at,"{""type"": ""string"", ""format"": ""date-time""}_x000D_"
get-/projects/{id}/forks,Project,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
get-/projects/{id}/forks,Project,web_url,web_url,"{""type"": ""string""}"
get-/projects/{id}/forks,Project,readme_url,readme_url,"{""type"": ""string""}"
get-/projects/{id}/forks,Project,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects/{id}/forks,Project,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects/{id}/forks,Project,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}_x000D_"
get-/projects/{id}/forks,Project,avatar_url,avatar_url,"{""type"": ""string""}"
get-/projects/{id}/forks,Project,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects/{id}/forks,Project,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}_x000D_"
get-/projects/{id}/starrers,Starrer,starred_since,starred_since,"{""type"": ""string"", ""format"": ""date-time""}"
get-/projects/{id}/starrers,Author,web_url,user.web_url,"{""type"": ""string""}"
get-/projects/{id}/starrers,Author,avatar_url,user.avatar_url,"{""type"": ""string""}"
get-/projects/{id}/users,Author,web_url,web_url,"{""type"": ""string""}"
get-/projects/{id}/users,Author,avatar_url,avatar_url,"{""type"": ""string""}"
get-/users/{user_id}/projects,BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
get-/users/{user_id}/projects,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
get-/users/{user_id}/projects,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
get-/users/{user_id}/projects,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/users/{user_id}/projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/users/{user_id}/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/users/{user_id}/projects,BasicProjectDetails,avatar_url,avatar_url,"{""type"": ""string""}"
get-/users/{user_id}/projects,BasicProjectDetails,marked_for_deletion_at,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}"
get-/users/{user_id}/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
get-/users/{user_id}/starred_projects,BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
get-/users/{user_id}/starred_projects,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
get-/users/{user_id}/starred_projects,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
get-/users/{user_id}/starred_projects,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/users/{user_id}/starred_projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/users/{user_id}/starred_projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get-/users/{user_id}/starred_projects,BasicProjectDetails,avatar_url,avatar_url,"{""type"": ""string""}"
get-/users/{user_id}/starred_projects,BasicProjectDetails,marked_for_deletion_at,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}"
get-/users/{user_id}/starred_projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
post-/projects,BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects,BasicProjectDetails,avatar_url,avatar_url,"{""type"": ""string""}"
post-/projects,BasicProjectDetails,marked_for_deletion_at,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}"
post-/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
post-/projects/{id}/archive,ArchiveProject,ssh_url_to_repo,ssh_url_to_repo,"{""type"": ""string""}"
post-/projects/{id}/archive,ArchiveProject,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/projects/{id}/archive,ArchiveProject,web_url,web_url,"{""type"": ""string""}"
post-/projects/{id}/archive,ArchiveProject,readme_url,readme_url,"{""type"": ""string""}"
post-/projects/{id}/archive,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/archive,ArchiveProject,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/archive,ArchiveProject,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/archive,ArchiveProject,avatar_url,avatar_url,"{""type"": ""string""}"
post-/projects/{id}/archive,ArchiveProject,license_url,license_url,"{""type"": ""string""}"
post-/projects/{id}/archive,License,html_url,license.html_url,"{""type"": ""string""}"
post-/projects/{id}/archive,License,source_url,license.source_url,"{""type"": ""string""}"
post-/projects/{id}/fork,BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/projects/{id}/fork,BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
post-/projects/{id}/fork,BasicProjectDetails,readme_url,readme_url,"{""type"": ""string""}"
post-/projects/{id}/fork,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/fork,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/fork,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/fork,BasicProjectDetails,avatar_url,avatar_url,"{""type"": ""string""}"
post-/projects/{id}/fork,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
post-/projects/{id}/hooks,ProjectHook,url,url,"{""type"": ""string""}"
post-/projects/{id}/star,StarProject,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/projects/{id}/star,StarProject,web_url,web_url,"{""type"": ""string""}"
post-/projects/{id}/star,StarProject,readme_url,readme_url,"{""type"": ""string""}"
post-/projects/{id}/star,StarProject,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/star,StarProject,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/star,StarProject,avatar_url,avatar_url,"{""type"": ""string""}"
post-/projects/{id}/star,StarProject,license_url,license_url,"{""type"": ""string""}"
post-/projects/{id}/unarchive,ArchiveProject,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/projects/{id}/unarchive,ArchiveProject,web_url,web_url,"{""type"": ""string""}"
post-/projects/{id}/unarchive,ArchiveProject,readme_url,readme_url,"{""type"": ""string""}"
post-/projects/{id}/unarchive,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/unarchive,ArchiveProject,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/unarchive,ArchiveProject,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/unarchive,ArchiveProject,avatar_url,avatar_url,"{""type"": ""string""}"
post-/projects/{id}/unarchive,ArchiveProject,license_url,license_url,"{""type"": ""string""}"
post-/projects/{id}/unarchive,License,html_url,license.html_url,"{""type"": ""string""}"
post-/projects/{id}/unarchive,License,source_url,license.source_url,"{""type"": ""string""}"
post-/projects/{id}/unstar,StarProject,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/projects/{id}/unstar,StarProject,web_url,web_url,"{""type"": ""string""}"
post-/projects/{id}/unstar,StarProject,readme_url,readme_url,"{""type"": ""string""}"
post-/projects/{id}/unstar,StarProject,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/unstar,StarProject,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}_x000D_"
post-/projects/{id}/unstar,StarProject,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/unstar,StarProject,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}_x000D_"
post-/projects/{id}/unstar,StarProject,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/unstar,StarProject,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}_x000D_"
post-/projects/{id}/unstar,StarProject,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
post-/projects/{id}/unstar,StarProject,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}_x000D_"
post-/projects/user/{user_id},BasicProjectDetails,http_url_to_repo,http_url_to_repo,"{""type"": ""string""}"
post-/projects/user/{user_id},BasicProjectDetails,web_url,web_url,"{""type"": ""string""}"
