endpoint,group,response resource,attribute,description,tp
get+api_v1_holidays,holidays.provinces.sourceLink,Province,sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1
get+api_v1_holidays,holidays.date,Holiday,date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_holidays,holidays.federal,Holiday,federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get+api_v1_holidays_{holidayid},holiday.observedDate,Holiday,observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_provinces,provinces.sourceLink,Province,sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1
get+api_v1_provinces_{provinceid},province.optional,Province,optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1
get+api_v1_provinces,provinces.nextHoliday.optional,Holiday,optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get+api_v1_provinces,provinces.holidays.optional,Holiday,optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get+api_v1_provinces_{provinceid},province.sourceLink,Province,sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1
get+api_v1_holidays_{holidayid},holiday.provinces.id,Province,id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1
get+api_v1_provinces_{provinceid},province.nextHoliday.observedDate,Holiday,observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_provinces_{provinceid},province.holidays.observedDate,Holiday,observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_holidays,holidays.optional,Holiday,optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get+api_v1_holidays_{holidayid},holiday.provinces.optional,Province,optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1
get+api_v1_holidays_{holidayid},holiday.date,Holiday,date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_holidays_{holidayid},holiday.federal,Holiday,federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get+api_v1_holidays_{holidayid},holiday.provinces.sourceLink,Province,sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1
get+api_v1_provinces,provinces.nextHoliday.observedDate,Holiday,observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_provinces,provinces.holidays.observedDate,Holiday,observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_holidays,holidays.observedDate,Holiday,observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_holidays_{holidayid},holiday.optional,Holiday,optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get+api_v1_provinces_{provinceid},province.nextHoliday.date,Holiday,date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_provinces_{provinceid},province.holidays.date,Holiday,date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_provinces_{provinceid},province.nextHoliday.federal,Holiday,federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get+api_v1_provinces_{provinceid},province.holidays.federal,Holiday,federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get+api_v1_provinces_{provinceid},province.nextHoliday.optional,Holiday,optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get+api_v1_provinces_{provinceid},province.holidays.optional,Holiday,optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get+api_v1_holidays,holidays.provinces.optional,Province,optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1
get+api_v1_provinces,provinces.nextHoliday.date,Holiday,date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_provinces,provinces.holidays.date,Holiday,date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get+api_v1_provinces,provinces.id,Province,id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1
get+api_v1_holidays,holidays.provinces.id,Province,id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1
get+api_v1_provinces_{provinceid},province.id,Province,id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1
get+api_v1_provinces,provinces.nextHoliday.federal,Holiday,federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get+api_v1_provinces,provinces.holidays.federal,Holiday,federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get+api_v1_provinces,provinces.optional,Province,optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1
