endpoint,group,description,tp
get+projects,archived,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0
get+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,creator_id,"{""type"": ""integer""}",0.0
get+projects,id,Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID,1.0
get+projects,issues_enabled,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature,1.0
get+projects,last_activity_at,"Attribute last_activity_at is responded to by parameter last_activity_after with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_before with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}",1.0
get+projects,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1.0
get+projects,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature,1.0
get+projects,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,repository_storage,Attribute repository_storage is responded to by parameter repository_storage with a description: Limit results to projects stored on repository_storage. (admins only),1.0
get+projects,visibility,Attribute visibility is responded to by parameter visibility with a description: Limit by visibility,1.0
get+projects,web_url,"{""type"": ""string""}",1.0
get+projects_{id}_repository_branches,name,Attribute name is responded to by parameter search with a description: Return list of branches containing the search string,0.0
post+projects,allow_merge_on_skipped_pipeline,Attribute allow_merge_on_skipped_pipeline is responded to by parameter allow_merge_on_skipped_pipeline with a description: Set whether or not merge requests can be merged with skipped jobs,0.0
post+projects,auto_devops_deploy_strategy,Attribute auto_devops_deploy_strategy is responded to by parameter auto_devops_deploy_strategy with a description: Auto Deploy strategy,1.0
post+projects,auto_devops_enabled,Attribute auto_devops_enabled is responded to by parameter auto_devops_enabled with a description: Enable Auto DevOps for this project,1.0
post+projects,autoclose_referenced_issues,Attribute autoclose_referenced_issues is responded to by parameter autoclose_referenced_issues with a description: Set whether auto-closing referenced issues on default branch,1.0
post+projects,avatar_url,Attribute avatar_url is responded to by parameter avatar with a description: Image file for avatar of the project,0.0
post+projects,container_registry_enabled,Attribute container_registry_enabled is responded to by parameter container_registry_enabled with a description: Enable container registry for this project,1.0
post+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
post+projects,default_branch,Attribute default_branch is responded to by parameter default_branch with a description: master by default,1.0
post+projects,description,Attribute description is responded to by parameter description with a description: Short project description,1.0
post+projects,http_url_to_repo,"{""type"": ""string""}",1.0
