endpoint,group,description_x,tp_x,description_y,tp_y,status,_check_verification_script,check_verify,_merge
get+projects,archived,Attribute archived is responded to by parameter BasicProjectDetails with a description: Limit by archived status,1.0,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0,satisfied,yes,yes,both
get+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects,http_url_to_repo,"{""type"": ""string""}",1.0,,,,,,left_only
get+projects,id,"Attribute id_after is responded to by parameter BasicProjectDetails with a description: Limit results to projects with IDs greater than the specified ID
Attribute id_before is responded to by parameter BasicProjectDetails with a description: Limit results to projects with IDs less than the specified ID",1.0,"Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID
Attribute id is responded to by parameter id_before with a description: Limit results to projects with IDs less than the specified ID",1.0,"satisfied
satisfied","yes,yes",yes,both
get+projects,issues_enabled,Attribute with_issues_enabled is responded to by parameter BasicProjectDetails with a description: Limit by enabled issues feature,1.0,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature,1.0,satisfied,yes,yes,both
get+projects,last_activity_at,"Attribute last_activity_after is responded to by parameter BasicProjectDetails with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_before is responded to by parameter BasicProjectDetails with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",1.0,"Attribute last_activity_at is responded to by parameter last_activity_after with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_before with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",0.6666666666666666,"mismatched
mismatched
satisfied","yes,yes,yes",yes,both
get+projects,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1.0,"{""type"": ""string"", ""format"": ""date""}",0.0,unknown,yes,yes,both
get+projects,merge_requests_enabled,Attribute with_merge_requests_enabled is responded to by parameter BasicProjectDetails with a description: Limit by enabled merge requests feature,1.0,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature,1.0,satisfied,yes,yes,both
get+projects,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects,readme_url,"{""type"": ""string""}",1.0,,,,,,left_only
get+projects,repository_storage,Attribute repository_storage is responded to by parameter BasicProjectDetails with a description: Limit results to projects stored on repository_storage. (admins only),1.0,Attribute repository_storage is responded to by parameter repository_storage with a description: Limit results to projects stored on repository_storage. (admins only),1.0,satisfied,yes,yes,both
get+projects,visibility,Attribute visibility is responded to by parameter BasicProjectDetails with a description: Limit by visibility,1.0,Attribute visibility is responded to by parameter visibility with a description: Limit by visibility,1.0,satisfied,yes,yes,both
get+projects,web_url,"{""type"": ""string""}",1.0,,,,,,left_only
get+projects_{id}_repository_commits,created_at,"Attribute since is responded to by parameter RepoCommit with a description: Only commits after or on this date will be returned in ISO 8601 format YYYY-MM-DDTHH:MM:SSZ
Attribute until is responded to by parameter RepoCommit with a description: Only commits before or on this date will be returned in ISO 8601 format YYYY-MM-DDTHH:MM:SSZ",1.0,"Attribute created_at is responded to by parameter since with a description: Only commits after or on this date will be returned in ISO 8601 format YYYY-MM-DDTHH:MM:SSZ
Attribute created_at is responded to by parameter until with a description: Only commits before or on this date will be returned in ISO 8601 format YYYY-MM-DDTHH:MM:SSZ",1.0,"mismatched
mismatched","yes,yes",yes,both
get+projects_{id}_repository_commits_{sha}_comments,author.avatar_url,"{""type"": ""string""}",1.0,"{""type"": ""string""}",0.0,satisfied,yes,yes,both
get+projects_{id}_repository_commits_{sha}_comments,author.web_url,"{""type"": ""string""}",1.0,"{""type"": ""string""}",0.0,satisfied,yes,yes,both
get+projects_{id}_repository_commits_{sha}_comments,line,Attribute line is responded to by parameter RepoCommitComment with a description: The line number where the comment should be placed,1.0,Attribute line is responded to by parameter line with a description: The line number where the comment should be placed,1.0,unknown,yes,yes,both
get+projects_{id}_repository_commits_{sha}_comments,line_type,Attribute line_type is responded to by parameter RepoCommitComment with a description: The line type,1.0,Attribute line_type is responded to by parameter line_type with a description: The line type,1.0,unknown,yes,yes,both
get+projects_{id}_repository_commits_{sha}_comments,note,Attribute note is responded to by parameter RepoCommitComment with a description: The text of the comment,1.0,Attribute note is responded to by parameter note with a description: The text of the comment,1.0,unknown,yes,yes,both
get+projects_{id}_repository_commits_{sha}_comments,path,Attribute path is responded to by parameter RepoCommitComment with a description: The file path relative to the repository,1.0,Attribute path is responded to by parameter path with a description: The file path relative to the repository,1.0,unknown,yes,yes,both
get+projects_{id}_repository_commits_{sha}_merge_requests,author.avatar_url,"{""type"": ""string""}",1.0,"{""type"": ""string""}",0.0,satisfied,yes,yes,both
get+projects_{id}_repository_commits_{sha}_merge_requests,sha,Attribute sha is responded to by parameter MergeRequests with a description: The commit SHA,1.0,Attribute sha is responded to by parameter sha with a description: The commit SHA,1.0,satisfied,yes,yes,both
get+projects_{id}_repository_commits_{sha}_merge_requests,web_url,"{""type"": ""string""}",1.0,,,,,,left_only
get+projects_{id}_repository_commits_{sha}_refs,type,"Attribute type is responded to by parameter RepoCommitRefs with a description: The scope of commits
{""type"": ""string"", ""enum"": [""branch"", ""tag"", ""all""]}",1.0,"Attribute type is responded to by parameter type with a description: The scope of commits
{""type"": ""string"", ""enum"": [""branch"", ""tag"", ""all""]}",0.5,"satisfied
unknown","yes,yes",yes,both
get+projects_{id}_repository_commits_{sha}_signature,x509_certificate.x509_issuer.crl_url,"{ ""type"": ""string"" }",1.0,,,,,,left_only
get+projects_{id}_repository_commits_{sha}_statuses,name,"Attribute name is responded to by parameter CommitStatus with a description: Filter by job name, e.g., bundler:audit",1.0,"Attribute name is responded to by parameter name with a description: Filter by job name, e.g., bundler:audit",1.0,satisfied,yes,yes,both
get+projects_{id}_repository_commits_{sha}_statuses,ref,"Attribute ref is responded to by parameter CommitStatus with a description: The name of a repository branch or tag or, if not given, the default branch",1.0,"Attribute ref is responded to by parameter ref with a description: The name of a repository branch or tag or, if not given, the default branch",1.0,satisfied,yes,yes,both
get+projects_{id}_repository_commits_{sha}_statuses,sha,Attribute sha is responded to by parameter CommitStatus with a description: The commit hash or name of a repository branch or tag,1.0,Attribute sha is responded to by parameter sha with a description: The commit hash or name of a repository branch or tag,1.0,satisfied,yes,yes,both
get+projects_{id}_repository_commits_{sha}_statuses,target_url,"{""type"": ""string""}",1.0,,,,,,left_only
