operation,response resource,attribute,description,TP
post-/projects,BasicProjectDetails,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects,Owner,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects,BasicProjectDetails,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1
get-/projects/{id}/repository/commits/{sha}/refs,RepoCommitRefs,type,"{""type"": ""string"", ""enum"": [""branch"", ""tag"", ""all""]}",1
get-/projects,BasicProjectDetails,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1
get-/projects,Owner,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/projects,BasicProjectDetails,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/projects,BasicProjectDetails,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects,BasicProjectDetails,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/statuses,CommitStatus,target_url,"{""type"": ""string""}",1
post-/projects/{id}/statuses/{sha},Author,web_url,"{""type"": ""string""}",1
post-/projects/{id}/statuses/{sha},Author,avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/statuses/{sha},CommitStatus,target_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/merge_requests,Author,avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/merge_requests,MergeRequests,web_url,"{""type"": ""string""}",1
get-/projects,BasicProjectDetails,http_url_to_repo,"{""type"": ""string""}",1
get-/projects,BasicProjectDetails,web_url,"{""type"": ""string""}",1
get-/projects,BasicProjectDetails,readme_url,"{""type"": ""string""}",1
post-/projects,BasicProjectDetails,web_url,"{""type"": ""string""}",1
post-/projects,BasicProjectDetails,readme_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/signature,X509Issuer,crl_url,"{ ""type"": ""string"" }",1
