endpoint,group,description,tp
get+projects,archived,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0
get+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,http_url_to_repo,"{""type"": ""string""}",1.0
get+projects,id,"Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID
Attribute id is responded to by parameter id_before with a description: Limit results to projects with IDs less than the specified ID",1.0
get+projects,issues_enabled,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature,1.0
get+projects,last_activity_at,"Attribute last_activity_at is responded to by parameter last_activity_after with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_before with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1.0
get+projects,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature,1.0
get+projects,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,readme_url,"{""type"": ""string""}",1.0
get+projects,repository_storage,Attribute repository_storage is responded to by parameter repository_storage with a description: Limit results to projects stored on repository_storage. (admins only),1.0
get+projects,visibility,Attribute visibility is responded to by parameter visibility with a description: Limit by visibility,1.0
get+projects,web_url,"{""type"": ""string""}",1.0
get+projects_{id}_repository_commits,created_at,"Attribute created_at is responded to by parameter since with a description: Only commits after or on this date will be returned in ISO 8601 format YYYY-MM-DDTHH:MM:SSZ
Attribute created_at is responded to by parameter until with a description: Only commits before or on this date will be returned in ISO 8601 format YYYY-MM-DDTHH:MM:SSZ",1.0
get+projects_{id}_repository_commits_{sha}_comments,author.avatar_url,"{""type"": ""string""}",1.0
get+projects_{id}_repository_commits_{sha}_comments,author.web_url,"{""type"": ""string""}",1.0
get+projects_{id}_repository_commits_{sha}_comments,line,Attribute line is responded to by parameter line with a description: The line number where the comment should be placed,1.0
get+projects_{id}_repository_commits_{sha}_comments,line_type,Attribute line_type is responded to by parameter line_type with a description: The line type,1.0
get+projects_{id}_repository_commits_{sha}_comments,note,Attribute note is responded to by parameter note with a description: The text of the comment,1.0
get+projects_{id}_repository_commits_{sha}_comments,path,Attribute path is responded to by parameter path with a description: The file path relative to the repository,1.0
get+projects_{id}_repository_commits_{sha}_merge_requests,author.avatar_url,"{""type"": ""string""}",1.0
get+projects_{id}_repository_commits_{sha}_merge_requests,sha,Attribute sha is responded to by parameter sha with a description: The commit SHA,1.0
get+projects_{id}_repository_commits_{sha}_merge_requests,web_url,"{""type"": ""string""}",1.0
