kio,response resource,attribute,description,attribute inferred from operation,part,corresponding attribute,corresponding attribute description,x,name-identical,constraint_correctness,request information,API response,verification script,Example_value,verify_result,satisfied,mismatched,unknown,tp,code error,category
1,Group,visibility,,post-/groups,parameters,visibility,"The group's visibility. Can be private,internal, orpublic",c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Extract the visibility attribute from the response
        visibility = latest_response.get(""visibility"", None)
        
        # Check if the visibility attribute exists in the response
        if visibility is None:
            return 0
        
        # Define the allowed values for visibility
        allowed_values = [""private"", ""internal"", ""public""]
        
        # Verify if the visibility value in the response is within the allowed values
        if visibility in allowed_values:
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",public,1,1,0,0,1,0,range of values
2,Group,share_with_group_lock,,post-/groups,parameters,share_with_group_lock,Prevent sharing a project with another group within this group,c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'share_with_group_lock' is in the response
        if 'share_with_group_lock' not in latest_response:
            return 0
        
        # Extract the value from the response
        response_value = latest_response['share_with_group_lock']
        
        # Ensure the value is a boolean
        if not isinstance(response_value, bool):
            return -1
        
        # Extract the expected value from the request info
        if 'share_with_group_lock' not in request_info:
            return 0
        
        expected_value = request_info['share_with_group_lock']
        
        # Convert the expected value to boolean
        if isinstance(expected_value, str):
            expected_value = expected_value.lower() == 'true'
        
        # Compare the response value with the expected value
        if response_value == expected_value:
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",False,1,1,0,0,1,0,logic
3,Group,require_two_factor_authentication,,post-/groups,parameters,require_two_factor_authentication,Require all users in this group to setup Two-factor authentication,c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'require_two_factor_authentication' is present in request_info
        if 'require_two_factor_authentication' in request_info:
            request_value = request_info['require_two_factor_authentication']
            if not isinstance(request_value, bool):
                return -1  # Invalid type in request_info

            # Check if 'require_two_factor_authentication' is present in latest_response
            if 'require_two_factor_authentication' in latest_response:
                response_value = latest_response['require_two_factor_authentication']
                if not isinstance(response_value, bool):
                    return -1  # Invalid type in latest_response

                # Compare request and response values
                if request_value == response_value:
                    return 1  # Constraint is satisfied
                else:
                    return -1  # Constraint is not satisfied
            else:
                return 0  # Attribute does not exist in the response
        else:
            # 'require_two_factor_authentication' not in request_info, check if it's in response
            if 'require_two_factor_authentication' in latest_response:
                response_value = latest_response['require_two_factor_authentication']
                if isinstance(response_value, bool):
                    return 1  # Default behavior is satisfied
                else:
                    return -1  # Invalid type in latest_response
            else:
                return 0  # Attribute does not exist in the response
    except Exception as e:
        return -1  # Handle any exception that might occur
",False,1,1,0,0,1,0,logic
4,Group,two_factor_grace_period,,post-/groups,parameters,two_factor_grace_period,Time before Two-factor authentication is enforced (in hours),c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Extract the 'two_factor_grace_period' from the request info
        requested_grace_period = int(request_info.get('two_factor_grace_period', None))
        
        # Check if the 'two_factor_grace_period' exists in the response
        if 'two_factor_grace_period' not in latest_response:
            return 0
        
        # Extract the 'two_factor_grace_period' from the response
        response_grace_period = latest_response['two_factor_grace_period']
        
        # Verify the constraint
        if response_grace_period == requested_grace_period:
            return 1
        else:
            return -1
    except (ValueError, TypeError):
        # Handle cases where conversion to integer fails or the key is missing
        return -1
",48,1,1,0,0,1,0,range of values
5,Group,project_creation_level,,post-/groups,parameters,project_creation_level,"Determine if developers can create projects in the group. Can benoone(No one),maintainer(Maintainers), or developer(Developers + Maintainers)",c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Extract the project_creation_level from the response
        response_project_creation_level = latest_response.get(""project_creation_level"")
        
        # Check if the attribute exists in the response
        if response_project_creation_level is None:
            return 0
        
        # Extract the project_creation_level from the request info
        request_project_creation_level = request_info.get(""project_creation_level"")
        
        # Check if the request parameter exists
        if request_project_creation_level is None:
            return 0
        
        # Define the allowed values
        allowed_values = [""noone"", ""maintainer"", ""developer""]
        
        # Verify if the response value is within the allowed values
        if response_project_creation_level not in allowed_values:
            return -1
        
        # Verify if the response value matches the request value
        if response_project_creation_level == request_project_creation_level:
            return 1
        else:
            return -1
    except Exception as e:
        return -1
",developer,1,1,0,0,1,0,range of values
6,Group,subgroup_creation_level,,post-/groups,parameters,subgroup_creation_level,"Allowed to create subgroups. Can be owner(Owners), or maintainer(Maintainers)",c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Extract the subgroup_creation_level from the response
        subgroup_creation_level = latest_response.get(""subgroup_creation_level"", None)
        
        # Check if the subgroup_creation_level exists in the response
        if subgroup_creation_level is None:
            return 0
        
        # Define the allowed values for subgroup_creation_level
        allowed_values = [""owner"", ""maintainer""]
        
        # Verify if the subgroup_creation_level in the response is within the allowed values
        if subgroup_creation_level in allowed_values:
            return 1
        else:
            return -1
    except Exception as e:
        # In case of any unexpected error, return -1
        return -1
",owner,1,1,0,0,1,0,range of values
7,Group,lfs_enabled,,post-/groups,parameters,lfs_enabled,Enable/disable Large File Storage (LFS) for the projects in this group,c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'lfs_enabled' is in the response
        if 'lfs_enabled' not in latest_response:
            return 0
        
        # Check if 'lfs_enabled' in the response is a boolean
        if not isinstance(latest_response['lfs_enabled'], bool):
            return -1
        
        # Check if 'lfs_enabled' in the response matches the request parameter
        if 'lfs_enabled' in request_info:
            if latest_response['lfs_enabled'] != request_info['lfs_enabled']:
                return -1
        
        return 1
    except Exception as e:
        return -1
",True,1,1,0,0,1,0,"range of values, logic"
8,Group,request_access_enabled,,post-/groups,parameters,request_access_enabled,Allow users to request member access,c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'request_access_enabled' is in the response
        if 'request_access_enabled' not in latest_response:
            return 0
        
        # Check if the type of 'request_access_enabled' in the response is boolean
        if not isinstance(latest_response['request_access_enabled'], bool):
            return -1
        
        # Check if the 'request_access_enabled' in the response matches the request parameter
        if 'request_access_enabled' in request_info:
            request_value = request_info['request_access_enabled']
            # Convert request_value to boolean if it's a string representation
            if isinstance(request_value, str):
                request_value = request_value.lower() == 'true'
            if latest_response['request_access_enabled'] != request_value:
                return -1
        
        return 1
    except Exception as e:
        return -1
",False,1,1,0,0,1,0,logic
9,Group,default_branch_protection,,post-/groups,parameters,default_branch_protection,SeeOptions fordefault_branch_protection. Default to the global level default branch protection setting,c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Extract the default_branch_protection value from the response
        response_value = latest_response.get(""default_branch_protection"", None)
        
        # Check if the value exists in the response
        if response_value is None:
            return 0
        
        # Verify the value is one of the allowed enum values
        if response_value in [0, 1, 2]:
            return 1
        else:
            return -1
    except Exception as e:
        # In case of any unexpected error, return -1
        return -1
",2,1,1,0,0,1,0,"range of values, logic"
10,Group,name,,post-/groups,requestBody,name,The name of the group,c,False,TP,"{
  ""visibility"": ""private"",
  ""share_with_group_lock"": false,
  ""require_two_factor_authentication"": false,
  ""two_factor_grace_period"": 48,
  ""project_creation_level"": ""developer"",
  ""subgroup_creation_level"": ""maintainer"",
  ""lfs_enabled"": true,
  ""request_access_enabled"": true,
  ""default_branch_protection"": 2,
  ""name"": ""test-5"",
  ""path"": ""test-5"",
  ""description"": """"
}","{""id"":18,""web_url"":""http://gitlab.example.com/groups/test-5"",""name"":""test-5"",""path"":""test-5"",""description"":"""",""visibility"":""private"",""share_with_group_lock"":false,""require_two_factor_authentication"":false,""two_factor_grace_period"":48,""project_creation_level"":""developer"",""auto_devops_enabled"":null,""subgroup_creation_level"":""maintainer"",""emails_disabled"":false,""emails_enabled"":true,""mentions_disabled"":null,""lfs_enabled"":true,""default_branch_protection"":2,""default_branch_protection_defaults"":{},""avatar_url"":null,""request_access_enabled"":true,""full_name"":""test-5"",""full_path"":""test-5"",""created_at"":""2024-03-18T03:42:22.608Z"",""parent_id"":null,""shared_runners_setting"":""enabled"",""shared_with_groups"":[],""prevent_sharing_groups_outside_hierarchy"":false}","def verify_latest_response(latest_response, request_info):
    try:
        # Check if 'name' exists in the response
        if 'name' not in latest_response:
            return 0
        
        # Check if 'name' is a string
        if not isinstance(latest_response['name'], str):
            return -1
        
        # If all checks pass
        return 1
    except Exception as e:
        # In case of any unexpected error
        return -1
",Foobar Group,1,1,0,0,1,0,logic
