endpoint,group,description,tp
get+groups,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+groups_{id}_issues,confidential,Attribute confidential is responded to by parameter confidential with a description: Filter confidential or public issues,1.0
get+groups_{id}_issues,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+groups_{id}_issues,due_date,"Attribute due_date is responded to by parameter due_date with a description: Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )
{""type"": ""string"", ""format"": ""date""}",1.0
get+groups_{id}_issues,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+groups_{id}_issues,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+groups_{id}_issues,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+groups_{id}_issues,state,Attribute state is responded to by parameter state with a description: Return all issues or just those that are opened or closed,1.0
get+groups_{id}_issues,updated_at,"Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues,confidential,Attribute confidential is responded to by parameter confidential with a description: Filter confidential or public issues,1.0
get+issues,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues,due_date,"Attribute due_date is responded to by parameter due_date with a description: Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )
{""type"": ""string"", ""format"": ""date""}",1.0
get+issues,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues,state,Attribute state is responded to by parameter state with a description: Return all issues or just those that are opened or closed,1.0
get+issues,updated_at,"Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues_{id},created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues_{id},due_date,"{""type"": ""string"", ""format"": ""date""}",1.0
get+issues_{id},id,Attribute id is responded to by parameter id with a description: The ID of the issue,1.0
get+issues_{id},milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues_{id},milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues_{id},milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+issues_{id},updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,archived,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0
get+projects,avatar_url,"{""type"": ""string""}",1.0
get+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,http_url_to_repo,"{""type"": ""string""}",1.0
get+projects,id,"Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID
Attribute id is responded to by parameter id_before with a description: Limit results to projects with IDs less than the specified ID",1.0
get+projects,issues_enabled,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature,1.0
get+projects,last_activity_at,"Attribute last_activity_at is responded to by parameter last_activity_after with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_before with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",0.6666666666666666
get+projects,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}",1.0
get+projects,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1.0
get+projects,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature,1.0
get+projects,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,readme_url,"{""type"": ""string""}",1.0
get+projects,repository_storage,Attribute repository_storage is responded to by parameter repository_storage with a description: Limit results to projects stored on repository_storage. (admins only),1.0
get+projects,visibility,Attribute visibility is responded to by parameter visibility with a description: Limit by visibility,1.0
get+projects,web_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues,assignee.avatar_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues,assignee.web_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues,assignees.avatar_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues,assignees.web_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues,author.avatar_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues,author.web_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues,closed_by.avatar_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues,closed_by.web_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues,confidential,Attribute confidential is responded to by parameter confidential with a description: Filter confidential or public issues,1.0
get+projects_{id}_issues,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues,due_date,"Attribute due_date is responded to by parameter due_date with a description: Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )
{""type"": ""string"", ""format"": ""date""}",1.0
get+projects_{id}_issues,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues,project_id,Attribute project_id is responded to by parameter id with a description: The ID or URL-encoded path of the project owned by the authenticated user user,1.0
get+projects_{id}_issues,state,Attribute state is responded to by parameter state with a description: Return all issues or just those that are opened or closed,1.0
get+projects_{id}_issues,updated_at,"Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues_{issue_iid},created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues_{issue_iid},due_date,"{""type"": ""string"", ""format"": ""date""}",1.0
get+projects_{id}_issues_{issue_iid},iid,Attribute iid is responded to by parameter issue_iid with a description: The internal ID of a project's issue,1.0
get+projects_{id}_issues_{issue_iid},milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues_{issue_iid},milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues_{issue_iid},milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues_{issue_iid},project_id,Attribute project_id is responded to by parameter id with a description: The ID or URL-encoded path of the project owned by the authenticated user,1.0
get+projects_{id}_issues_{issue_iid},updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues_{issue_iid}_closed_by,head_pipeline.web_url,"{""type"": ""string""}",1.0
get+projects_{id}_issues_{issue_iid}_closed_by,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues_{issue_iid}_closed_by,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_issues_{issue_iid}_closed_by,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
