endpoint,group,description
get+groups,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+groups_{id}_issues,confidential,Attribute confidential is responded to by parameter confidential with a description: Filter confidential or public issues
get+groups_{id}_issues,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+groups_{id}_issues,due_date,"Attribute due_date is responded to by parameter due_date with a description: Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )
{""type"": ""string"", ""format"": ""date""}"
get+groups_{id}_issues,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+groups_{id}_issues,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+groups_{id}_issues,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+groups_{id}_issues,state,Attribute state is responded to by parameter state with a description: Return all issues or just those that are opened or closed
get+groups_{id}_issues,updated_at,"Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
{""type"": ""string"", ""format"": ""date-time""}"
get+issues,confidential,Attribute confidential is responded to by parameter confidential with a description: Filter confidential or public issues
get+issues,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+issues,due_date,"Attribute due_date is responded to by parameter due_date with a description: Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )
{""type"": ""string"", ""format"": ""date""}"
get+issues,milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+issues,milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+issues,milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+issues,state,Attribute state is responded to by parameter state with a description: Return all issues or just those that are opened or closed
get+issues,updated_at,"Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
{""type"": ""string"", ""format"": ""date-time""}"
get+issues_{id},created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+issues_{id},due_date,"{""type"": ""string"", ""format"": ""date""}"
get+issues_{id},id,Attribute id is responded to by parameter id with a description: The ID of the issue
get+issues_{id},milestone.closed_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+issues_{id},milestone.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+issues_{id},milestone.updated_at,"{""type"": ""string"", ""format"": ""date-time""}"
