,endpoint,group,invariant,invariantType,variables,pptname,tp_x,description,tp_y
0,get+groups,created_at,"LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/groups&/groups&get&200():::EXIT
/groups&/groups&get&200():::EXIT",1.0,"{""type"": ""string"", ""format"": ""date-time""}",1.0
1,get+groups_{id}_issues,confidential,input.confidential == return.confidential,daikon.inv.binary.twoScalar.IntEqual,"(input.confidential, return.confidential)",/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,1.0,Attribute confidential is responded to by parameter confidential with a description: Filter confidential or public issues,1.0
2,get+groups_{id}_issues,created_at,"LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT",1.0,"{""type"": ""string"", ""format"": ""date-time""}",1.0
3,get+groups_{id}_issues,due_date,return.due_date is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.due_date),/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT,1.0,"Attribute due_date is responded to by parameter due_date with a description: Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )
{""type"": ""string"", ""format"": ""date""}",1.0
4,get+groups_{id}_issues,state,"input.state == return.state
return.state one of { ""closed"", ""opened"" }
LENGTH(return.state)==6","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(input.state, return.state)
(return.state)
(return.state)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT",1.0,Attribute state is responded to by parameter state with a description: Return all issues or just those that are opened or closed,1.0
5,get+groups_{id}_issues,updated_at,"LENGTH(return.updated_at)==24
return.updated_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.updated_at)
(return.updated_at)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT",1.0,"Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
{""type"": ""string"", ""format"": ""date-time""}",1.0
6,get+issues,confidential,input.confidential == return.confidential,daikon.inv.binary.twoScalar.IntEqual,"(input.confidential, return.confidential)",/issues&/issues&get&200():::EXIT,1.0,Attribute confidential is responded to by parameter confidential with a description: Filter confidential or public issues,1.0
7,get+issues,created_at,"LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/issues&/issues&get&200():::EXIT
/issues&/issues&get&200():::EXIT",1.0,"{""type"": ""string"", ""format"": ""date-time""}",1.0
8,get+issues,due_date,return.due_date is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.due_date),/issues&/issues&get&200():::EXIT,1.0,"Attribute due_date is responded to by parameter due_date with a description: Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )
{""type"": ""string"", ""format"": ""date""}",1.0
9,get+issues,state,"return.state one of { ""closed"", ""opened"" }
LENGTH(return.state)==6","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.state)
(return.state)","/issues&/issues&get&200():::EXIT
/issues&/issues&get&200():::EXIT",1.0,Attribute state is responded to by parameter state with a description: Return all issues or just those that are opened or closed,1.0
