,endpoint,group,invariant,invariantType,variables,pptname,tp_x,description,tp_y
0,get+projects,archived,input.archived == return.archived,daikon.inv.binary.twoScalar.IntEqual,"(input.archived, return.archived)",/projects&/projects&get&200():::EXIT,1.0,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0
1,get+projects,created_at,"LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/projects&/projects&get&200():::EXIT
/projects&/projects&get&200():::EXIT",1.0,"{""type"": ""string"", ""format"": ""date-time""}",1.0
2,get+projects,last_activity_at,"LENGTH(return.last_activity_at)==24
return.last_activity_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.last_activity_at)
(return.last_activity_at)","/projects&/projects&get&200():::EXIT
/projects&/projects&get&200():::EXIT",1.0,"Attribute last_activity_at is responded to by parameter last_activity_before with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_after with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",1.0
3,get+projects,repository_storage,"return.repository_storage == ""default""
LENGTH(return.repository_storage)==7","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.repository_storage)
(return.repository_storage)","/projects&/projects&get&200():::EXIT
/projects&/projects&get&200():::EXIT",1.0,Attribute repository_storage is responded to by parameter repository_storage with a description: Limit results to projects stored on repository_storage. (admins only),1.0
4,get+projects,visibility,"input.visibility == return.visibility
return.visibility one of { ""internal"", ""private"", ""public"" }","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString","(input.visibility, return.visibility)
(return.visibility)","/projects&/projects&get&200():::EXIT
/projects&/projects&get&200():::EXIT",1.0,Attribute visibility is responded to by parameter visibility with a description: Limit by visibility,1.0
5,get+projects_{id},container_expiration_policy.next_run_at,"LENGTH(return.container_expiration_policy.next_run_at)==24
return.container_expiration_policy.next_run_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.container_expiration_policy.next_run_at)
(return.container_expiration_policy.next_run_at)","/projects/{id}&/projects/{id}&get&200():::EXIT
/projects/{id}&/projects/{id}&get&200():::EXIT",1.0,"{""type"": ""string"", ""format"": ""date-time""}",1.0
6,get+projects_{id}_forks,created_at,"return.created_at == return.last_activity_at
LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at, return.last_activity_at)
(return.created_at)
(return.created_at)","/projects/{id}/forks&/projects/{id}/forks&get&200():::EXIT
/projects/{id}/forks&/projects/{id}/forks&get&200():::EXIT
/projects/{id}/forks&/projects/{id}/forks&get&200():::EXIT",1.0,"Attribute created_at is responded to by parameter order_by with a description: Return projects ordered byid,name,path,created_at,updated_at, orlast_activity_atfields. Default iscreated_at
{""type"": ""string"", ""format"": ""date-time""}",1.0
7,get+projects_{id}_forks,id,input.id < return.id,daikon.inv.binary.twoScalar.IntLessThan,"(input.id, return.id)",/projects/{id}/forks&/projects/{id}/forks&get&200():::EXIT,1.0,Attribute id is responded to by parameter id with a description: The ID orURL-encoded path of the project,1.0
8,get+projects_{id}_forks,merge_requests_enabled,return.merge_requests_enabled == return.can_create_merge_request_in,daikon.inv.binary.twoScalar.IntEqual,"(return.merge_requests_enabled, return.can_create_merge_request_in)",/projects/{id}/forks&/projects/{id}/forks&get&200():::EXIT,1.0,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature,1.0
9,get+projects_{id}_forks,visibility,"input.visibility == return.visibility
return.visibility one of { ""internal"", ""private"", ""public"" }","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString","(input.visibility, return.visibility)
(return.visibility)","/projects/{id}/forks&/projects/{id}/forks&get&200():::EXIT
/projects/{id}/forks&/projects/{id}/forks&get&200():::EXIT",1.0,"Attribute visibility is responded to by parameter visibility with a description: Limit by visibilitypublic,internal, orprivate",1.0
10,get+projects_{id}_starrers,starred_since,"LENGTH(return.starred_since)==24
return.starred_since is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.starred_since)
(return.starred_since)","/projects/{id}/starrers&/projects/{id}/starrers&get&200():::EXIT
/projects/{id}/starrers&/projects/{id}/starrers&get&200():::EXIT",1.0,"{""type"": ""string"", ""format"": ""date-time""}",1.0
11,get+projects_{id}_users,web_url,return.username is a substring of return.web_url,daikon.inv.binary.twoString.StdString$SubString,"(return.web_url, return.username)",/projects/{id}/users&/projects/{id}/users&get&200():::EXIT,1.0,"{""type"": ""string""}_x000D_",1.0
12,get+users_{user_id}_projects,created_at,"return.created_at == return.last_activity_at
LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at, return.last_activity_at)
(return.created_at)
(return.created_at)","/users/{user_id}/projects&/users/{user_id}/projects&get&200():::EXIT
/users/{user_id}/projects&/users/{user_id}/projects&get&200():::EXIT
/users/{user_id}/projects&/users/{user_id}/projects&get&200():::EXIT",1.0,"{""type"": ""string"", ""format"": ""date-time""}",1.0
13,get+users_{user_id}_projects,id,"input.id_after < return.id
input.id_before > return.id
return.id > return.owner.id
return.id > return.creator_id
return.id > return.star_count","daikon.inv.binary.twoScalar.IntLessThan
daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.binary.twoScalar.IntGreaterThan","(input.id_after, return.id)
(input.id_before, return.id)
(return.id, return.owner.id)
(return.id, return.creator_id)
(return.id, return.star_count)","/users/{user_id}/projects&/users/{user_id}/projects&get&200():::EXIT
/users/{user_id}/projects&/users/{user_id}/projects&get&200():::EXIT
/users/{user_id}/projects&/users/{user_id}/projects&get&200():::EXIT
/users/{user_id}/projects&/users/{user_id}/projects&get&200():::EXIT
/users/{user_id}/projects&/users/{user_id}/projects&get&200():::EXIT",1.0,Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID,1.0
