endpoint,group,description_x,tp_x,description_y,tp_y,status,_check_verification_script,check_verify,_merge
get+projects,archived,Attribute archived is responded to by parameter BasicProjectDetails with a description: Limit by archived status,1.0,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0,satisfied,yes,yes,both
get+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects,id,Attribute id_after is responded to by parameter BasicProjectDetails with a description: Limit results to projects with IDs greater than the specified ID,1.0,Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID,1.0,satisfied,yes,yes,both
get+projects,issues_enabled,Attribute with_issues_enabled is responded to by parameter BasicProjectDetails with a description: Limit by enabled issues feature,1.0,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature,1.0,satisfied,yes,yes,both
get+projects,last_activity_at,"Attribute last_activity_before is responded to by parameter BasicProjectDetails with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_after is responded to by parameter BasicProjectDetails with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",1.0,"Attribute last_activity_at is responded to by parameter last_activity_before with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_after with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",0.6666666666666666,"satisfied
satisfied
satisfied","yes,yes,yes",yes,both
get+projects,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1.0,"{""type"": ""string"", ""format"": ""date""}",0.0,unknown,yes,yes,both
get+projects,merge_requests_enabled,Attribute with_merge_requests_enabled is responded to by parameter BasicProjectDetails with a description: Limit by enabled merge requests feature,1.0,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature,1.0,satisfied,yes,yes,both
get+projects,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects,repository_storage,Attribute repository_storage is responded to by parameter BasicProjectDetails with a description: Limit results to projects stored on repository_storage. (admins only),1.0,Attribute repository_storage is responded to by parameter repository_storage with a description: Limit results to projects stored on repository_storage. (admins only),1.0,unknown,yes,yes,both
get+projects,ssh_url_to_repo,"{""type"": ""string""}",1.0,,,,,,left_only
get+projects,visibility,Attribute visibility is responded to by parameter BasicProjectDetails with a description: Limit by visibility,1.0,Attribute visibility is responded to by parameter visibility with a description: Limit by visibility,1.0,satisfied,yes,yes,both
get+projects_{id},container_expiration_policy.next_run_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects_{id},created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects_{id},forked_from_project.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects_{id},forked_from_project.last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects_{id},last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects_{id},marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1.0,"{""type"": ""string"", ""format"": ""date""}",0.0,unknown,yes,yes,both
get+projects_{id},owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects_{id}_forks,archived,Attribute archived is responded to by parameter Project with a description: Limit by archived status,1.0,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0,satisfied,yes,yes,both
get+projects_{id}_forks,created_at,"Attribute order_by is responded to by parameter Project with a description: Return projects ordered byid,name,path,created_at,updated_at, orlast_activity_atfields. Default iscreated_at
{""type"": ""string"", ""format"": ""date-time""}",1.0,"Attribute created_at is responded to by parameter order_by with a description: Return projects ordered byid,name,path,created_at,updated_at, orlast_activity_atfields. Default iscreated_at
{""type"": ""string"", ""format"": ""date-time""}",0.5,"unknown
satisfied","yes,yes",yes,both
get+projects_{id}_forks,id,Attribute id is responded to by parameter Project with a description: The ID orURL-encoded path of the project,1.0,Attribute id is responded to by parameter id with a description: The ID orURL-encoded path of the project,1.0,satisfied,yes,yes,both
get+projects_{id}_forks,issues_enabled,Attribute with_issues_enabled is responded to by parameter Project with a description: Limit by enabled issues feature,1.0,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature,1.0,satisfied,yes,yes,both
get+projects_{id}_forks,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+projects_{id}_forks,merge_requests_enabled,Attribute with_merge_requests_enabled is responded to by parameter Project with a description: Limit by enabled merge requests feature,1.0,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature,1.0,satisfied,yes,yes,both
get+projects_{id}_forks,visibility,"Attribute visibility is responded to by parameter Project with a description: Limit by visibilitypublic,internal, orprivate",1.0,"Attribute visibility is responded to by parameter visibility with a description: Limit by visibilitypublic,internal, orprivate",1.0,satisfied,yes,yes,both
get+projects_{id}_starrers,starred_since,"{""type"": ""string"", ""format"": ""date-time""}",1.0,,,,,,left_only
get+projects_{id}_users,avatar_url,"{""type"": ""string""}_x000D_",1.0,,,,,,left_only
get+projects_{id}_users,web_url,"{""type"": ""string""}_x000D_",1.0,,,,,,left_only
get+users_{user_id}_projects,archived,Attribute archived is responded to by parameter BasicProjectDetails with a description: Limit by archived status,1.0,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0,satisfied,yes,yes,both
get+users_{user_id}_projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+users_{user_id}_projects,id,Attribute id_after is responded to by parameter BasicProjectDetails with a description: Limit results to projects with IDs greater than the specified ID,1.0,Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID,1.0,satisfied,yes,yes,both
get+users_{user_id}_projects,issues_enabled,Attribute with_issues_enabled is responded to by parameter BasicProjectDetails with a description: Limit by enabled issues feature,1.0,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature,1.0,satisfied,yes,yes,both
