endpoint,group,description,tp
get+projects,archived,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0
get+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,id,Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID,1.0
get+projects,issues_enabled,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature,1.0
get+projects,last_activity_at,"Attribute last_activity_at is responded to by parameter last_activity_before with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_after with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1.0
get+projects,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature,1.0
get+projects,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects,repository_storage,Attribute repository_storage is responded to by parameter repository_storage with a description: Limit results to projects stored on repository_storage. (admins only),1.0
get+projects,ssh_url_to_repo,"{""type"": ""string""}",1.0
get+projects,visibility,Attribute visibility is responded to by parameter visibility with a description: Limit by visibility,1.0
get+projects_{id},container_expiration_policy.next_run_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id},created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id},forked_from_project.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id},forked_from_project.last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id},last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id},marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1.0
get+projects_{id},owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_forks,archived,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0
get+projects_{id}_forks,created_at,"Attribute created_at is responded to by parameter order_by with a description: Return projects ordered byid,name,path,created_at,updated_at, orlast_activity_atfields. Default iscreated_at
{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_forks,id,Attribute id is responded to by parameter id with a description: The ID orURL-encoded path of the project,1.0
get+projects_{id}_forks,issues_enabled,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature,1.0
get+projects_{id}_forks,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+projects_{id}_forks,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature,1.0
