endpoint,group,description
get+v1_apple_pay_domains,data.created,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}_x000D_"
get+v1_apple_pay_domains,data.domain_name,"{""maxLength"": 5000, ""type"": ""string""}
{""maxLength"": 5000, ""type"": ""string""}
{""maxLength"": 5000, ""type"": ""string""}
{""maxLength"": 5000, ""type"": ""string""}"
get+v1_apple_pay_domains,data.id,"Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}"
get+v1_apple_pay_domains,data.livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode
get+v1_radar_value_list_items,data.created_by,"The name or email address of the user who added this item to the value list, schema: {""maxLength"": 5000, ""type"": ""string""}"
get+v1_radar_value_list_items,data.id,"Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}"
get+v1_radar_value_list_items,data.object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""radar.value_list_item""]}"
get+v1_radar_value_list_items,data.value,"Attribute value is responded to by parameter value with a description: Return items belonging to the parent list whose value matches the specified value (using an ""is like"" match)
The value of the item, schema: {""maxLength"": 5000, ""type"": ""string""}"
get+v1_radar_value_list_items,data.value_list,"Attribute value_list is responded to by parameter value_list with a description: Identifier for the parent value list this item belongs to
The identifier of the value list this item belongs to, schema: {""maxLength"": 5000, ""type"": ""string""}"
get+v1_reporting_report_types,data.data_available_end,"Most recent time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}"
