operation,response resource,attribute,group,description,TP
get-/v1/apple_pay/domains,apple_pay_domain,id,data.id,"Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/apple_pay/domains,apple_pay_domain,domain_name,data.domain_name,"{""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/apple_pay/domains,apple_pay_domain,domain_name,data.domain_name,"{""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/apple_pay/domains,apple_pay_domain,livemode,data.livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,1.0
get-/v1/apple_pay/domains,apple_pay_domain,created,data.created,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}_x000D_",1.0
get-/v1/apple_pay/domains,apple_pay_domain,domain_name,data.domain_name,"{""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/apple_pay/domains,apple_pay_domain,domain_name,data.domain_name,"{""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/radar/value_list_items,radar.value_list_item,id,data.id,"Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/radar/value_list_items,radar.value_list_item,created_by,data.created_by,"The name or email address of the user who added this item to the value list, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/radar/value_list_items,radar.value_list_item,object,data.object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""radar.value_list_item""]}",1.0
get-/v1/radar/value_list_items,radar.value_list_item,value_list,data.value_list,"The identifier of the value list this item belongs to, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/radar/value_list_items,radar.value_list_item,value,data.value,"The value of the item, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/reporting/report_types,reporting.report_type,data_available_end,data.data_available_end,"Most recent time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0
get-/v1/reporting/report_types,reporting.report_type,updated,data.updated,"When this Report Type was latest updated. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0
get-/v1/reporting/report_types,reporting.report_type,data_available_start,data.data_available_start,"Earliest time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0
get-/v1/reporting/report_types,reporting.report_type,object,data.object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""reporting.report_type""]}",1.0
get-/v1/reporting/report_types,reporting.report_type,name,data.name,"Human-readable name of the Report Type, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/tax_rates,tax_rate,object,data.object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""tax_rate""]}",1.0
get-/v1/tax_rates,tax_rate,jurisdiction,data.jurisdiction,"The jurisdiction for the tax rate. You can use this label field for tax reporting purposes. It also appears on your customer’s invoice, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get-/v1/tax_rates,tax_rate,jurisdiction,data.jurisdiction,"The jurisdiction for the tax rate. You can use this label field for tax reporting purposes. It also appears on your customer’s invoice. schema: {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}_x000D_",1.0
